# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 1.083967e-09 2.601957e-27 1.083757e-09 6.188807e-16 1.082431e-09 0.000000e+00
 3.500000e+00 5.597152e+00 9.059888e-06 5.590162e+00 8.499508e-04 5.414639e+00 0.000000e+00
 6.000000e+00 4.189715e+02 5.672712e-03 3.742558e+02 3.431982e-02 1.741056e+02 0.000000e+00
 8.500000e+00 1.432532e+03 3.501147e-03 9.997217e+02 4.020567e-02 1.596424e+02 0.000000e+00
 1.100000e+01 2.257116e+03 7.521635e-04 1.389641e+03 2.251140e-02 1.524758e+02 0.000000e+00
 1.350000e+01 2.723603e+03 1.380948e-04 1.624932e+03 4.291588e-03 1.603218e+02 0.000000e+00
 1.600000e+01 2.995100e+03 2.544235e-05 1.774615e+03 4.494356e-04 1.638486e+02 0.000000e+00
 1.850000e+01 3.182649e+03 4.881588e-06 1.874707e+03 7.353663e-05 1.666130e+02 0.000000e+00
 2.100000e+01 3.320059e+03 9.911722e-07 1.944192e+03 2.068546e-05 1.649817e+02 0.000000e+00
 2.350000e+01 3.419154e+03 2.122926e-07 1.993316e+03 7.826469e-06 1.599454e+02 0.000000e+00
 2.600000e+01 3.490374e+03 4.761362e-08 2.028542e+03 3.200020e-06 1.532743e+02 0.000000e+00
 2.850000e+01 3.541971e+03 1.126018e-08 2.053712e+03 1.072538e-06 1.445673e+02 0.000000e+00
 3.100000e+01 3.580056e+03 2.768912e-09 2.071746e+03 2.514769e-07 1.431868e+02 0.000000e+00
 3.350000e+01 3.608705e+03 7.192921e-10 2.084427e+03 5.352782e-08 1.358324e+02 0.000000e+00
 3.600000e+01 3.630534e+03 1.941043e-10 2.092946e+03 1.204603e-08 1.290169e+02 0.000000e+00
 3.850000e+01 3.647548e+03 5.362045e-11 2.098363e+03 3.402615e-09 1.220751e+02 0.000000e+00
 4.100000e+01 3.660867e+03 1.539350e-11 2.101317e+03 1.139226e-09 1.193148e+02 0.000000e+00
 4.350000e+01 3.670930e+03 4.630098e-12 2.102206e+03 4.093487e-10 1.131465e+02 0.000000e+00
 4.600000e+01 3.678175e+03 1.426554e-12 2.101508e+03 1.342566e-10 1.074971e+02 0.000000e+00
 4.850000e+01 3.682873e+03 4.502944e-13 2.099569e+03 4.076134e-11 1.022704e+02 0.000000e+00
 5.100000e+01 3.684967e+03 1.479119e-13 2.096585e+03 1.197148e-11 9.783759e+01 0.000000e+00
 5.350000e+01 3.684323e+03 4.949198e-14 2.092688e+03 3.752428e-12 9.475110e+01 0.000000e+00
