Isotope,R,R_unc,Rel_R_unc_in_percent
46SCg,1943356.8093058201,18331.159323906773,9.43e-01
47SCg,1018700.8942769069,354744.2958158583,3.48e+01
48Vg,16440540.223152366,391906.71294042264,2.38e+00
