Isotope,R,R_unc,Rel_R_unc_in_percent
44SCm1,2236932.72396033,132779.7570118079,5.94e+00
44SCg,177749697937500.0,0.0,0.00e+00
46SCg,2683584.452024143,3062.5922500600786,1.14e-01
47SCg,3425439.8655137136,1182502.739402011,3.45e+01
48SCg,839805.7633136156,146629.6935487079,1.75e+01
48Vg,6739456.48714884,417228.15813126165,6.19e+00
