Isotope,R,R_unc,Rel_R_unc_in_percent
88Yg,534677.121667168,27553.76210181743,5.15e+00
89ZRg,121003.29092917104,17922.562351176883,1.48e+01
90Ym1,163125.3697994989,37031.37600960975,2.27e+01
90NBg,16383361.453812372,189280.77877470944,1.16e+00
92NBm1,7308443.44433232,275220.15657884267,3.77e+00
95ZRg,2718168.333893881,63189.97291278002,2.32e+00
95NBg,941029.3549477768,38431.401101179166,4.08e+00
95NBm1,393520.5123619309,30834.675662471614,7.84e+00
96NBg,2019657.5650604921,38523.76754591296,1.91e+00
