Isotope,R,R_unc,Rel_R_unc_in_percent
55COg,1016976.390163014,123062.1008856277,1.21e+01
56COg,4158694.9492099695,59104.68684785489,1.42e+00
57NIg,318652.31728057977,22731.706675265104,7.13e+00
57COg,3242812.459284302,49950.65520709171,1.54e+00
58COg,34730635.1717297,68898.30647605532,1.98e-01
60COg,650551.024936708,172611.6039621171,2.65e+01
60CUg,16352833.45012422,4174159.5261504236,2.55e+01
61CUg,4930087.478985181,79961.78328896103,1.62e+00
64CUg,1646452.0558088268,332812.7796615669,2.02e+01
65NIg,259147.1096673943,6943.594867456273,2.68e+00
