Isotope,R,R_unc,Rel_R_unc_in_percent
48Vg,52195.31089098487,169.25751633431847,3.24e-01
52MNg,500235.3399587921,18839.65750601193,3.77e+00
54MNg,3029459.0384317962,251124.0010293897,8.29e+00
55COg,2183201.0665175035,332413.56460965803,1.52e+01
56COg,17455982.126460336,286967.7145771476,1.64e+00
57COg,4823398.380927926,1868949.9064794416,3.87e+01
58COg,214225.32387299743,39040.018422500696,1.82e+01
