Isotope,R,R_unc,Rel_R_unc_in_percent
44SCm1,2439640.8203198602,115649.18741617768,4.74e+00
44SCg,1426232180.7861328,0.0,0.00e+00
46SCg,3926001.0255447007,24931.672671654625,6.35e-01
47SCg,3932632.234979104,1357593.7253957638,3.45e+01
48SCg,822109.6147221251,164237.42980774047,2.00e+01
48Vg,5371256.986534285,436335.77232229523,8.12e+00
