Isotope,R,R_unc,Rel_R_unc_in_percent
44SCm1,2113053.847783626,78420.65188536911,3.71e+00
44SCg,74241956.84432983,0.0,0.00e+00
46SCg,5999345.085901009,91661.85600770455,1.53e+00
47SCg,4393442.126719902,27103.735193176224,6.17e-01
48SCg,867374.2990927172,193793.38821401837,2.23e+01
48Vg,4403490.2429873515,164219.85495888468,3.73e+00
