Isotope,R,R_unc,Rel_R_unc_in_percent
48Vg,43134.061645805145,1039.9277064020596,2.41e+00
52MNg,4983418.140976965,330999.21924921323,6.64e+00
54MNg,14653948.977435715,712752.9784731263,4.86e+00
55COg,3331409.4426779673,689083.4607080997,2.07e+01
56COg,6365481.5454560155,289914.7060237481,4.55e+00
57COg,2675734.7129186066,1036187.8933512035,3.87e+01
