Isotope,R,R_unc,Rel_R_unc_in_percent
46SCg,3722233.628682312,61648.61574042774,1.66e+00
47SCg,220524.65955888238,86328.04095126339,3.91e+01
48Vg,16838846.064228088,256222.7629852257,1.52e+00
