Isotope,R,R_unc,Rel_R_unc_in_percent
56COg,5215873.413992001,106345.57227200696,2.04e+00
57COg,177560.2074413426,69261.88555408396,3.90e+01
58COg,8140620.415174058,2991605.3697907613,3.67e+01
60COg,209724.25907824235,59703.71357952191,2.85e+01
61CUg,9860514.968169304,281789.315490574,2.86e+00
64CUg,1371584.4966023678,349868.18154008547,2.55e+01
65NIg,376390.2751796256,13052.605381891823,3.47e+00
