Isotope,R,R_unc,Rel_R_unc_in_percent
44SCm1,1270657.52816373,90485.79348607286,7.12e+00
44SCg,73708955964.35547,5248946486.0788965,7.12e+00
46SCg,2099758.1151618673,14656.864412447972,6.98e-01
47SCg,2277572.3346288623,786320.1293805968,3.45e+01
48SCg,828218.5091005745,161595.83154866452,1.95e+01
48Vg,9514218.104382453,314579.87137115025,3.31e+00
