Isotope,R,R_unc,Rel_R_unc_in_percent
88Yg,1306528.139331886,202193.4569678887,1.55e+01
89NBm1,2200009.0794132017,125125.84373416712,5.69e+00
89ZRg,21917943.962725673,710904.4581497711,3.24e+00
90Ym1,288417.7386622365,23555.782988863695,8.17e+00
90NBg,24610436.657132074,349371.7928288745,1.42e+00
92NBm1,2186053.9709286476,70140.66519672306,3.21e+00
95ZRg,1315927.200988288,59933.29325497341,4.55e+00
95NBg,1758439.872966161,108576.9070473183,6.17e+00
95NBm1,485385.34725330526,64652.02020425097,1.33e+01
96NBg,273517.7471785318,9292.770220943441,3.40e+00
