Isotope,R,R_unc,Rel_R_unc_in_percent
87ZRg,558156.5849034548,1187710.4480019088,2.13e+02
87Yg,270102.3929272149,141992.04644713257,5.26e+01
87Ym1,3.381982325936489e-06,1318181.509524366,3.90e+13
88Yg,795983.5691385763,35828.77862766739,4.50e+00
89ZRg,1101376.9383398776,117092.62985893799,1.06e+01
90NBg,36560704.875054084,379204.40238412196,1.04e+00
92NBm1,3550173.1130924164,132635.142296348,3.74e+00
95ZRg,1659020.279388632,41197.183378759866,2.48e+00
95NBg,2405332.8382678307,90773.90003005895,3.77e+00
95NBm1,530331.4564057336,62276.88517296692,1.17e+01
96NBg,627224.75584131,18550.777613014918,2.96e+00
