Isotope,R,R_unc,Rel_R_unc_in_percent
86Yg,2096806.9907377684,42125.086225428815,2.01e+00
87ZRg,201498.03972033743,293533.92606925534,1.46e+02
87Yg,378238.9813885363,91823.25365350208,2.43e+01
87Ym1,985580.6724779888,248616.48871833997,2.52e+01
88ZRg,3742535.747313517,905739.8915607732,2.42e+01
88Yg,1355596.0130626317,535397.7884627066,3.95e+01
89NBm1,1348952.115203944,210764.5895158968,1.56e+01
89ZRg,30085144.281666454,1419428.6462629824,4.72e+00
90Ym1,334633.8047216266,46968.403732595434,1.40e+01
90NBg,12282917.858984238,437365.1643120759,3.56e+00
92NBm1,2074410.3900675029,53399.89004571866,2.57e+00
95ZRg,921514.5816737345,60127.200500375875,6.52e+00
95NBg,565666.8671450643,89794.7725953832,1.59e+01
95NBm1,247441.34997085683,93772.73582118945,3.79e+01
96NBg,145234.6771902021,37033.506486065286,2.55e+01
