Isotope,R,R_unc,Rel_R_unc_in_percent
48Vg,44893.126776491015,10203.366943564353,2.27e+01
52MNg,5571057.336494214,53111.781542951765,9.53e-01
54MNg,7928650.58103007,437564.8365465457,5.52e+00
55COg,3864994.1418942753,754897.3226992075,1.95e+01
56COg,8173415.195896415,284220.2716253727,3.48e+00
57COg,3027963.70319982,1171926.5155720117,3.87e+01
58COg,178271.45451368668,33140.135197616306,1.86e+01
