Isotope,R,R_unc,Rel_R_unc_in_percent
46SCg,2782250.642165264,34393.72424289982,1.24e+00
47SCg,638483.6655196021,90292.69517860116,1.41e+01
48Vg,35735613.03069705,351269.13004296273,9.83e-01
