Isotope,R,R_unc,Rel_R_unc_in_percent
86Ym1,1409080.4020765328,200766.20470327412,1.42e+01
86Yg,1349768.9669556406,205934.8975064535,1.53e+01
88NBg,854928.5782428723,114229.64291249462,1.34e+01
88ZRg,10907026.062382497,1063978.1901892985,9.75e+00
88Yg,1779905.5809481556,397328.4613388302,2.23e+01
89NBm1,1275452.875489693,181587.6996960446,1.42e+01
89ZRg,29083853.550727155,1318095.4228041444,4.53e+00
90Ym1,325477.1451066067,32678.99733779905,1.00e+01
90NBg,11553205.364393773,246618.3679941783,2.13e+00
92NBm1,1606566.0405451257,29375.404487222975,1.83e+00
95ZRg,863625.6733392962,128931.57319509267,1.49e+01
95NBg,528851.9229444094,198117.69796521068,3.75e+01
95NBm1,178136.30294683366,204136.6537287574,1.15e+02
96NBg,115323.93037909215,21220.240896848893,1.84e+01
