Isotope,R,R_unc,Rel_R_unc_in_percent
86Ym1,1186362.7668464384,192292.2187522631,1.62e+01
86Yg,1167860.6662921743,199693.89548880956,1.71e+01
88NBg,2503140.4740183414,224660.8026986043,8.98e+00
88ZRg,16059151.884749688,1136897.2157959132,7.08e+00
88Yg,2734496.76498458,350348.61123874586,1.28e+01
89NBm1,1297630.3279189852,461303.234223718,3.55e+01
89ZRg,23457927.00081734,1999703.7144661008,8.52e+00
90Ym1,373086.41690869693,31489.71123247082,8.44e+00
90NBg,8077587.724760221,275430.4892154986,3.41e+00
92NBm1,1209668.856450386,43922.62201125245,3.63e+00
95ZRg,759634.7431231781,52397.55525763507,6.90e+00
95NBg,352356.1044271246,56226.16865334275,1.60e+01
95NBm1,198775.30222515954,61129.71918414302,3.08e+01
96NBg,97171.75684536304,12383.324762435963,1.27e+01
