Isotope,R,R_unc,Rel_R_unc_in_percent
48Vg,297607.62911044684,5280.775408583245,1.77e+00
52MNg,3882432.0959389633,229852.8584498275,5.92e+00
54MNg,21734332.408435695,1015911.6581176819,4.67e+00
55COg,2587198.580749667,564429.3055105554,2.18e+01
56COg,4727799.4370425185,199080.2554560033,4.21e+00
57COg,2354505.2042496023,911680.5520685816,3.87e+01
