Isotope,R,R_unc,Rel_R_unc_in_percent
48Vg,68043.97255999822,11198.664365465267,1.65e+01
52MNg,3902532.110967464,318636.1028612233,8.16e+00
54MNg,3030484.343860877,227691.8174395639,7.51e+00
55COg,5260936.890612696,1065777.4111279158,2.03e+01
56COg,9796234.206251286,1512524.736108241,1.54e+01
57COg,3787344.0764767095,1466245.6228735882,3.87e+01
58COg,190506.89779872113,41082.00738689364,2.16e+01
