Isotope,R,R_unc,Rel_R_unc_in_percent
88ZRg,41891.53542992879,516.6720036557493,1.23e+00
88Yg,707019.543887253,2873.573662300192,4.06e-01
89NBm1,908557.7428971628,93446.37153603857,1.03e+01
89ZRg,14966662.258386882,772145.6591638183,5.16e+00
90Ym1,197543.48335562248,5184.249710457137,2.62e+00
90NBg,20933038.471455913,484826.72243403865,2.32e+00
92NBm1,1574604.820105998,65619.96497367935,4.17e+00
95ZRg,1040380.3093598667,25564.930700929366,2.46e+00
95NBg,1461841.2288905366,73413.52982402816,5.02e+00
95NBm1,409936.70763431984,67987.97077517114,1.66e+01
96NBg,239601.64769205413,6824.506668633161,2.85e+00
