Isotope,R,R_unc,Rel_R_unc_in_percent
57COg,104561.43811373023,41632.7148772294,3.98e+01
58COg,189223.86640675872,18329.14714551173,9.69e+00
61CUg,6496.018906696415,1665.5533354364259,2.56e+01
