# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 3.038161e-05 4.317368e-18 3.038161e-05 7.897257e-12 2.959406e-05 0.000000e+00
 3.500000e+00 1.007632e+02 1.375099e-02 9.823006e+01 2.004556e-02 9.097916e+01 0.000000e+00
 6.000000e+00 1.031904e+03 9.985867e-02 7.768026e+02 1.255067e-01 5.717248e+02 0.000000e+00
 8.500000e+00 1.947319e+03 3.385090e-02 1.222508e+03 1.215205e-01 4.716848e+02 0.000000e+00
 1.100000e+01 2.431373e+03 8.057494e-03 1.455778e+03 8.061141e-02 2.807744e+02 0.000000e+00
 1.350000e+01 2.674642e+03 1.881735e-03 1.587770e+03 3.704771e-02 2.073411e+02 0.000000e+00
 1.600000e+01 2.823639e+03 4.581862e-04 1.667661e+03 9.850592e-03 1.875838e+02 0.000000e+00
 1.850000e+01 2.924050e+03 1.193481e-04 1.717750e+03 1.859671e-03 1.769456e+02 0.000000e+00
 2.100000e+01 2.991771e+03 3.265498e-05 1.749680e+03 3.370312e-04 1.709239e+02 0.000000e+00
 2.350000e+01 3.037454e+03 9.433304e-06 1.769951e+03 8.100394e-05 1.627030e+02 0.000000e+00
 2.600000e+01 3.070255e+03 2.857570e-06 1.782865e+03 2.773928e-05 1.538624e+02 0.000000e+00
 2.850000e+01 3.094495e+03 9.025612e-07 1.790090e+03 1.190158e-05 1.450882e+02 0.000000e+00
 3.100000e+01 3.112187e+03 2.989504e-07 1.793188e+03 5.289403e-06 1.362795e+02 0.000000e+00
 3.350000e+01 3.124819e+03 1.026625e-07 1.793704e+03 2.039599e-06 1.283078e+02 0.000000e+00
 3.600000e+01 3.132566e+03 3.622583e-08 1.792211e+03 6.545757e-07 1.211738e+02 0.000000e+00
 3.850000e+01 3.135256e+03 1.301327e-08 1.789008e+03 1.862419e-07 1.144572e+02 0.000000e+00
 4.100000e+01 3.133415e+03 4.836224e-09 1.784582e+03 5.145683e-08 1.121338e+02 0.000000e+00
 4.350000e+01 3.127867e+03 1.862648e-09 1.779286e+03 1.614382e-08 1.060822e+02 0.000000e+00
 4.600000e+01 3.119320e+03 7.383202e-10 1.773285e+03 5.669867e-09 1.004688e+02 0.000000e+00
 4.850000e+01 3.108460e+03 2.994709e-10 1.766677e+03 2.166202e-09 9.523165e+01 0.000000e+00
 5.100000e+01 3.096117e+03 1.235085e-10 1.759607e+03 8.325716e-10 9.446835e+01 0.000000e+00
 5.350000e+01 3.083106e+03 5.371294e-11 1.752177e+03 3.389574e-10 8.346861e+01 0.000000e+00
