name,compound,areal_density,mu_E,sig_E
SS1,SS_316,100.199,29.0886707,0.7777983089217345
Kapton1,Kapton,0.0036128,28.16631232,0.47264736053025574
Silicone1,Silicone,0.0047952,28.166201440000002,0.4726475436749104
Ni01,Ni,23.253,27.947872460000003,0.5077726179832349
Silicone2,Silicone,0.0047952,27.729127239999993,0.4781904263888836
Kapton2,Kapton,0.0036128,27.72901576,0.4781945261832493
Kapton3,Kapton,0.0036128,27.728923139999996,0.47819207518793144
Silicone3,Silicone,0.0047952,27.72881294,0.4781916169158095
Zr01,Zr,16.142,27.59594444,0.4919878458184575
Silicone4,Silicone,0.0047952,27.46292106,0.481565069547695
Kapton4,Kapton,0.0036128,27.462807199999997,0.48156244084039607
Kapton5,Kapton,0.0036128,27.46271382,0.48156427606396174
Silicone5,Silicone,0.0047952,27.4625978,0.48156426386844775
Ti01,Ti,11.535,27.34853158,0.4919819437161323
Silicone6,Silicone,0.0047952,27.234354680000003,0.4846215339438577
Kapton6,Kapton,0.0036128,27.234237120000003,0.4846215715525936
E1,Al,68.312,26.45590371,0.7294213934401951
E2,Al,68.245,24.852474634285713,0.755557836804424
Kapton7,Kapton,0.0036128,24.025145459999997,0.5342284951604401
Silicone7,Silicone,0.0047952,24.02502236,0.5342306003029313
Ni02,Ni,23.103,23.780512939999998,0.5742049523406746
Silicone8,Silicone,0.0047952,23.53536934,0.5424071490937084
Kapton8,Kapton,0.0036128,23.535237839999997,0.5424119366608136
Kapton9,Kapton,0.0036128,23.535130839999997,0.5424154851042643
Silicone9,Silicone,0.0047952,23.534999539999998,0.5424203242871606
Zr02,Zr,16.378,23.38303256,0.5589381600676826
Silicone10,Silicone,0.0047952,23.23082836,0.547558780241638
Kapton10,Kapton,0.0036128,23.23069518,0.547562112207161
Kapton11,Kapton,0.0036128,23.230585,0.5475640888288785
Silicone11,Silicone,0.0047952,23.23045274,0.5475712098225146
Ti02,Ti,11.74,23.098479700000002,0.5603958307195994
Silicone12,Silicone,0.0047952,22.966315500000004,0.5523066228642836
Kapton12,Kapton,0.0036128,22.96618136,0.5523097858888166
E3,Al,68.349,22.072184557499998,0.820688009939544
Kapton13,Kapton,0.0036128,21.1618988,0.5884093793937687
Silicone13,Silicone,0.0047952,21.161757859999998,0.588412380842059
Ni03,Ni,23.064,20.89320826,0.6332873833164311
Silicone14,Silicone,0.0047952,20.62384518,0.5996489874841511
Kapton14,Kapton,0.0036128,20.62370224,0.5996507028420648
Kapton15,Kapton,0.0036128,20.623586860000003,0.5996514261096527
Silicone15,Silicone,0.0047952,20.62344256,0.5996589957472883
Zr03,Zr,16.14,20.45863436,0.6179538059008863
Silicone16,Silicone,0.0047952,20.293505779999997,0.6065651195927702
Kapton16,Kapton,0.0036128,20.29336164,0.606566098110099
Kapton17,Kapton,0.0036128,20.29324056,0.6065693684739498
Silicone17,Silicone,0.0047952,20.2930918,0.6065731869879841
Ti03,Ti,11.273,20.15257862,0.6205074825647918
Silicone18,Silicone,0.0047952,20.01183984,0.6130091201513843
Kapton18,Kapton,0.0036128,20.011689,0.6130128292939716
Kapton19,Kapton,0.0036128,20.01156616,0.6130167455647964
Silicone19,Silicone,0.0047952,20.011416299999997,0.6130213276015035
Ni04,Ni,23.201,19.729747100000004,0.6609479232447818
Silicone20,Silicone,0.0047952,19.44709274,0.6260266162387126
Kapton20,Kapton,0.0036128,19.446940880000003,0.6260317725042601
Kapton21,Kapton,0.0036128,19.44681472,0.6260338198462776
Silicone21,Silicone,0.0047952,19.446661640000002,0.6260399892598798
Zr04,Zr,16.195,19.274122119999998,0.6456359383791345
Silicone22,Silicone,0.0047952,19.10119616,0.634089530903369
Kapton22,Kapton,0.0036128,19.101045219999996,0.6340932867608295
Kapton23,Kapton,0.0036128,19.1009221,0.6340966949382326
Silicone23,Silicone,0.0047952,19.100772019999997,0.6341021400256583
Ti04,Ti,11.099,18.95592618,0.6486259365694588
Silicone24,Silicone,0.0047952,18.81080472,0.6414142789381303
Kapton24,Kapton,0.0036128,18.8106543,0.6414170439671135
Kapton25,Kapton,0.0036128,18.81052794,0.6414212239077816
Silicone25,Silicone,0.0047952,18.810371719999996,0.64142458405041
Ni05,Ni,22.746,18.52139385,0.6837784100000361
Silicone26,Silicone,0.0047952,18.23093746,0.6562671004771977
Kapton26,Kapton,0.0036128,18.23077844,0.6562692243516881
Kapton27,Kapton,0.0036128,18.23064814,0.6562713593587185
Silicone27,Silicone,0.0047952,18.23049134,0.6562772284522786
Zr05,Zr,16.4,18.04740266,0.6777445924719165
Silicone28,Silicone,0.0047952,17.863876000000005,0.665784429244181
Kapton28,Kapton,0.0036128,17.863717299999998,0.6657912694536554
Kapton29,Kapton,0.0036128,17.863582140000002,0.6657929121528857
Silicone29,Silicone,0.0047952,17.863416800000003,0.6657951461806851
Ti05,Ti,11.317,17.70798078,0.6821343562309345
Silicone30,Silicone,0.0047952,17.552205380000004,0.6746618956922464
Kapton30,Kapton,0.0036128,17.55203962,0.6746681800339005
SS2,SS_316,100.865,16.149835526249998,1.1357196315875613
