name,compound,areal_density,mu_E,sig_E
SS1,SS_316,100.199,28.891586572499996,0.8667793165147069
Kapton1,Kapton,0.0036128,27.76346164,0.4774989502067102
Silicone1,Silicone,0.0047952,27.76332376,0.4775008898624822
Ni01,Ni,23.253,27.495009,0.528617503606341
Silicone2,Silicone,0.0047952,27.22602468,0.484500367833604
Kapton2,Kapton,0.0036128,27.22588556,0.48450118202485987
Kapton3,Kapton,0.0036128,27.225772239999998,0.48450038642438914
Silicone3,Silicone,0.0047952,27.22563432,0.48450033399177095
Zr01,Zr,16.142,27.062041639999997,0.5046287036090104
Silicone4,Silicone,0.0047952,26.89820098,0.4887547470122819
Kapton4,Kapton,0.0036128,26.898062979999995,0.4887617300418678
Kapton5,Kapton,0.0036128,26.89794796,0.4887665859404041
Silicone5,Silicone,0.0047952,26.89780696,0.48876617986063486
Ti01,Ti,11.535,26.756985219999997,0.504029172867555
Silicone6,Silicone,0.0047952,26.61597978,0.4927136006151562
Kapton6,Kapton,0.0036128,26.615835800000003,0.4927149580014393
E1,Al,68.312,25.6497900075,0.8149381868296207
E2,Al,68.245,23.64057826666666,0.8604300222607659
Kapton7,Kapton,0.0036128,22.593126159999997,0.559543027767887
Silicone7,Silicone,0.0047952,22.5929668,0.5595464775134948
Ni02,Ni,23.103,22.28151426,0.6200652854471475
Silicone8,Silicone,0.0047952,21.96897148,0.571218297104189
Kapton8,Kapton,0.0036128,21.96880822,0.5712197875252849
Kapton9,Kapton,0.0036128,21.968673319999997,0.5712161523628141
Silicone9,Silicone,0.0047952,21.968509459999996,0.5712150161633607
Zr02,Zr,16.378,21.774342920000002,0.5963751515999586
Silicone10,Silicone,0.0047952,21.57977914,0.5785726277839804
Kapton10,Kapton,0.0036128,21.5796122,0.5785813187540365
Kapton11,Kapton,0.0036128,21.579475100000003,0.5785865076892046
Silicone11,Silicone,0.0047952,21.57930696,0.578591067072037
Ti02,Ti,11.74,21.40956458,0.5983656216807778
Silicone12,Silicone,0.0047952,21.23949402,0.5855761825623029
Kapton12,Kapton,0.0036128,21.239321179999997,0.5855785733814102
E3,Al,68.349,20.076148609090907,0.9648905650368627
Kapton13,Kapton,0.0036128,18.88079654,0.6412545983648213
Silicone13,Silicone,0.0047952,18.88060658,0.6412569469882596
Ni03,Ni,23.064,18.525048495,0.7025565216395296
Silicone14,Silicone,0.0047952,18.16724594,0.6595270841697983
Kapton14,Kapton,0.0036128,18.167054580000002,0.6595354571977335
Kapton15,Kapton,0.0036128,18.1668959,0.6595378674217197
Silicone15,Silicone,0.0047952,18.166699840000003,0.6595397541801209
Zr03,Zr,16.14,17.94711498,0.6890966175070079
Silicone16,Silicone,0.0047952,17.72689782,0.6711279014310517
Kapton16,Kapton,0.0036128,17.72669804,0.6711316176877367
Kapton17,Kapton,0.0036128,17.726532759999998,0.671135658303731
Silicone17,Silicone,0.0047952,17.72633526,0.6711412147087469
Ti03,Ti,11.273,17.53702756,0.6940506763921828
Silicone18,Silicone,0.0047952,17.3472018,0.6820754260906634
Kapton18,Kapton,0.0036128,17.34699624,0.6820857358322797
Kapton19,Kapton,0.0036128,17.346828360000003,0.6820895131137191
Silicone19,Silicone,0.0047952,17.346626479999998,0.6820958479296071
Ni04,Ni,23.201,16.965607008,0.7442311587277759
Silicone20,Silicone,0.0047952,16.58147804,0.7048393622647351
Kapton20,Kapton,0.0036128,16.581269699999996,0.7048496962203432
Kapton21,Kapton,0.0036128,16.581099639999998,0.7048548653388657
Silicone21,Silicone,0.0047952,16.58089332,0.7048590789508054
Zr04,Zr,16.195,16.345533179999997,0.7376371627833617
Silicone22,Silicone,0.0047952,16.10936388,0.7193493133042844
Kapton22,Kapton,0.0036128,16.109149079999998,0.7193535436314703
Kapton23,Kapton,0.0036128,16.108971259999997,0.7193574775409042
Silicone23,Silicone,0.0047952,16.10876028,0.7193686692470848
Ti04,Ti,11.099,15.908321039999999,0.744441166173203
Silicone24,Silicone,0.0047952,15.70725942,0.7330516767740618
Kapton24,Kapton,0.0036128,15.707041039999998,0.7330587036218302
Kapton25,Kapton,0.0036128,15.7068601,0.7330651407808108
Silicone25,Silicone,0.0047952,15.70664284,0.7330730723991533
Ni05,Ni,22.746,15.304518390000002,0.7964957512452955
Silicone26,Silicone,0.0047952,14.89829448,0.7615708424050447
Kapton26,Kapton,0.0036128,14.8980656,0.7615834770375732
Kapton27,Kapton,0.0036128,14.8978811,0.76159425986728
Silicone27,Silicone,0.0047952,14.897656979999999,0.7616063743544165
Zr05,Zr,16.4,14.64039684,0.7946609690415243
Silicone28,Silicone,0.0047952,14.381702819999997,0.7806174901986551
Kapton28,Kapton,0.0036128,14.381466419999999,0.7806308628361958
Kapton29,Kapton,0.0036128,14.38127168,0.7806377057444622
Silicone29,Silicone,0.0047952,14.3810322,0.7806467376241062
Ti05,Ti,11.317,14.158351004999998,0.8072063762232617
Silicone30,Silicone,0.0047952,13.934491959999999,0.7992021936252167
Kapton30,Kapton,0.0036128,13.934253359999998,0.7992162516670381
SS2,SS_316,100.865,11.838937752857142,1.5921055044552548
