name,compound,areal_density,mu_E,sig_E
SS1,SS_316,100.199,28.465215078,1.096545304637001
Kapton1,Kapton,0.0036128,26.8929481,0.4887784049100268
Silicone1,Silicone,0.0047952,26.89275446,0.48877991668040993
Ni01,Ni,23.253,26.51457622,0.5828300797063511
Silicone2,Silicone,0.0047952,26.13503412,0.49927669286261056
Kapton2,Kapton,0.0036128,26.13482946,0.4992773745285363
Kapton3,Kapton,0.0036128,26.134668499999997,0.49928082829981557
Silicone3,Silicone,0.0047952,26.134473939999996,0.499283462835368
Zr01,Zr,16.142,25.90274352,0.5370266037153183
Silicone4,Silicone,0.0047952,25.67051642,0.505814288558937
Kapton4,Kapton,0.0036128,25.67031212,0.505816575629057
Kapton5,Kapton,0.0036128,25.67014466,0.5058167663032577
Silicone5,Silicone,0.0047952,25.669939499999998,0.5058174816470363
Ti01,Ti,11.535,25.469336079999998,0.5345939782771908
Silicone6,Silicone,0.0047952,25.268328259999997,0.5119190155536053
Kapton6,Kapton,0.0036128,25.268121219999998,0.5119226865315812
E1,Al,68.312,23.87305644,1.0425782658530112
E2,Al,68.245,20.899669457142856,1.1389143132443493
Kapton7,Kapton,0.0036128,19.30420486,0.6304925128440309
Silicone7,Silicone,0.0047952,19.30394702,0.6305002257201179
Ni02,Ni,23.103,18.821491932,0.7281166065259791
Silicone8,Silicone,0.0047952,18.33444488,0.6546836333999694
Kapton8,Kapton,0.0036128,18.334179579999997,0.6546941083521551
Kapton9,Kapton,0.0036128,18.333965419999995,0.6547012984897949
Silicone9,Silicone,0.0047952,18.33370244,0.654706875432087
Zr02,Zr,16.378,18.029188934999997,0.7005632451631799
Silicone10,Silicone,0.0047952,17.723040039999997,0.6706018405557789
Kapton10,Kapton,0.0036128,17.72276436,0.670610613033965
Kapton11,Kapton,0.0036128,17.722536520000002,0.6706154078652604
Silicone11,Silicone,0.0047952,17.722261359999997,0.6706208602861607
Ti02,Ti,11.74,17.451014639999997,0.7081051425499397
Silicone12,Silicone,0.0047952,17.178355619999998,0.6864488531670918
Kapton12,Kapton,0.0036128,17.1780744,0.686461374342825
E3,Al,68.349,15.235513385454546,1.4281114146627079
Kapton13,Kapton,0.0036128,13.163730039999999,0.8415506413767375
Silicone13,Silicone,0.0047952,13.163391639999999,0.8415688991271661
Ni03,Ni,23.064,12.520375662,0.9666897096369971
Silicone14,Silicone,0.0047952,11.863045099999999,0.9066781334994188
Kapton14,Kapton,0.0036128,11.86267164,0.9066994447664068
Kapton15,Kapton,0.0036128,11.862365659999998,0.9067205441881001
Silicone15,Silicone,0.0047952,11.861987300000001,0.9067440778073547
Zr03,Zr,16.14,11.451382808571429,0.9695413262011493
Silicone16,Silicone,0.0047952,11.03506762,0.9532297156653979
Kapton16,Kapton,0.0036128,11.03467066,0.9532568047148493
Kapton17,Kapton,0.0036128,11.034344140000002,0.9532805064867635
Silicone17,Silicone,0.0047952,11.033951219999999,0.9533084375271791
Ti03,Ti,11.273,10.65991169142857,1.0101862384878184
Silicone18,Silicone,0.0047952,10.28038816,1.0046510644655757
Kapton18,Kapton,0.0036128,10.279961020000002,1.0046844786700744
Kapton19,Kapton,0.0036128,10.27961182,1.004710333437597
Silicone19,Silicone,0.0047952,10.279193939999997,1.0047402541290342
Ni04,Ni,23.201,9.496721403999999,1.1738009062904442
Silicone20,Silicone,0.0047952,8.68459726,1.1338615303468464
Kapton20,Kapton,0.0036128,8.68412164,1.1339144423119896
Kapton21,Kapton,0.0036128,8.68372638,1.1339553196189414
Silicone21,Silicone,0.0047952,8.683242840000002,1.134001690999063
Zr04,Zr,16.195,8.166135774999999,1.2302767956298084
Silicone22,Silicone,0.0047952,7.634827939999999,1.241570315445467
Kapton22,Kapton,0.0036128,7.6342912599999995,1.241644087123042
Kapton23,Kapton,0.0036128,7.6338478,1.2417022042483294
Silicone23,Silicone,0.0047952,7.633305259999998,1.2417697704712949
Ti04,Ti,11.099,7.139973576923078,1.34852612318109
Silicone24,Silicone,0.0047952,6.629790079999999,1.3894396640133726
Kapton24,Kapton,0.0036128,6.62919086,1.3895656452620222
Kapton25,Kapton,0.0036128,6.62869094,1.3896701290457085
Silicone25,Silicone,0.0047952,6.62808284,1.3897902361498782
Ni05,Ni,22.746,5.519416238000001,1.7437066730680153
Silicone26,Silicone,0.0047952,4.309014019999999,1.824620640309497
Kapton26,Kapton,0.0036128,4.308160399999999,1.8248406794763863
Kapton27,Kapton,0.0036128,4.307460719999999,1.825024617493441
Silicone27,Silicone,0.0047952,4.3066023399999995,1.8252554222098683
Zr05,Zr,16.4,3.483290374054054,1.972761592174154
Silicone28,Silicone,0.0047952,2.65017334,1.9316033669346417
Kapton28,Kapton,0.0036128,2.64923054,1.9316255517908507
Kapton29,Kapton,0.0036128,2.6484387199999997,1.9316825542528364
Silicone29,Silicone,0.0047952,2.6474854199999998,1.9317461886302307
Ti05,Ti,11.317,1.936545362352941,1.8549504825535872
Silicone30,Silicone,0.0047952,1.28692918,1.6110659661430773
Kapton30,Kapton,0.0036128,1.28620422,1.6107839811887226
SS2,SS_316,100.865,0.1678467670588235,0.6240395107492284
