Foil,Energy,Energy_min_unc,Energy_plus_unc,xs,xs_unc
Zr01,26.395312639999993,0.6253126399999935,0.634687360000008,293.8027399943617,10.38851942022436
Zr02,19.241718260000003,0.7917182600000032,0.768281739999999,419.6286017063976,11.191392286912059
Zr03,12.445472363999999,1.015472363999999,1.0845276360000007,187.52684227155788,3.724469549462358
Zr04,6.346733794120523,1.456733794120523,1.8432662058794769,0.3950499450738033,0.018244746890854924
Zr05,1.6333420201661875,1.3033420201661876,0.8566579798338128,7.85143180139666,53.9971191915638
Zr06,47.63516853333334,0.8851685333333421,0.914831466666655,134.05287415930746,5.900605934713006
Zr07,41.110509566666664,1.060509566666667,1.0394904333333415,192.60456620439774,5.77926626197864
Zr08,36.351075,1.1010750000000016,1.1989249999999956,193.50756033657498,7.5877859529864775
Zr09,31.041554066666667,1.2915540666666665,1.308445933333335,221.90788494909464,9.220537201907618
Zr10,24.896101700000006,1.5461017000000048,1.5538982999999966,347.94567299548515,11.7303505904759
