Foil,Energy,Energy_min_unc,Energy_plus_unc,xs,xs_unc
Ti01,25.542917359999997,0.6129173599999973,0.6470826400000043,188.77872617987674,3.9428316496407962
Ti02,18.134367400000002,0.7643674000000047,0.7956325999999976,327.80150676984,6.282374172703491
Ti03,10.866410484000001,1.116410484000001,1.2235895159999988,153.94572978097295,3.9092324945921897
Ti04,3.9274296448168275,2.1574296448168275,2.1625703551831723,1.507909101138888,0.038120099717721526
Ti05,1.3297790055248617,0.9997790055248619,0,0.18196157913518665,0.05600086904606558
Ti06,47.09795026666667,0.9479502666666662,0.9520497333333253,52.81803898895014,2.77961335035411
Ti08,40.50592943333334,1.0559294333333398,1.0440705666666545,65.79748917947715,5.432659827359961
Ti09,35.68120613333333,1.131206133333336,1.1687938666666682,79.60427161527811,5.036002946421265
Ti10,30.28116373333334,1.3311637333333373,1.3688362666666585,116.04494055475837,4.686885650859785
Ti11,23.99016156666667,1.5401615666666686,1.5598384333333293,210.93441110488425,5.183668118141055
