Foil,Energy,Energy_min_unc,Energy_plus_unc,xs,xs_unc
Ti01,25.542917359999997,0.6129173599999973,0.6470826400000043,24.097459611442762,0.5526082860695543
Ti02,18.134367400000002,0.7643674000000047,0.7956325999999976,25.521486141281365,0.5252075592775178
Ti03,10.866410484000001,1.116410484000001,1.2235895159999988,34.02976487801545,0.8923395968281073
Ti04,3.9274296448168275,2.1574296448168275,2.1625703551831723,0.27110982066545974,0.010209567485661333
Ti05,1.3297790055248617,0.9997790055248619,0,0.1611742424357015,0.06046850018084862
Ti06,47.09795026666667,0.9479502666666662,0.9520497333333253,71.95965590247727,2.889320429659099
Ti08,40.50592943333334,1.0559294333333398,1.0440705666666545,48.09321368247751,0.773024199120161
Ti09,35.68120613333333,1.131206133333336,1.1687938666666682,31.697628143874578,0.41434407611141194
Ti10,30.28116373333334,1.3311637333333373,1.3688362666666585,25.610754660027453,0.6203503328144283
Ti11,23.99016156666667,1.5401615666666686,1.5598384333333293,24.933537376120988,0.2783800598618124
