Foil,Energy,Energy_min_unc,Energy_plus_unc,xs,xs_unc
Zr01,26.395312639999993,0.6253126399999935,0.634687360000008,26.097409617995247,1.1897092873769042
Zr02,19.241718260000003,0.7917182600000032,0.768281739999999,40.74741404016352,1.8220442621456738
Zr03,12.445472363999999,1.015472363999999,1.0845276360000007,83.65373155632022,3.427858463239835
Zr04,6.346733794120523,1.456733794120523,1.8432662058794769,20.624169068781338,1.7298254752981863
Zr05,1.6333420201661875,1.3033420201661876,0.8566579798338128,2.6817857331385393,18.447163338349068
Zr06,47.63516853333334,0.8851685333333421,0.914831466666655,20.075321563778502,0.918477959625801
Zr07,41.110509566666664,1.060509566666667,1.0394904333333415,26.78321259102267,0.747540975902572
Zr08,36.351075,1.1010750000000016,1.1989249999999956,32.68067883083965,0.9978733110885657
Zr09,31.041554066666667,1.2915540666666665,1.308445933333335,37.21487530006778,1.5616393144609815
Zr10,24.896101700000006,1.5461017000000048,1.5538982999999966,26.172831954572544,1.2652240356898368
