# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 3.500000e+00 1.240980e+02 1.016362e-01 1.240980e+02 2.617573e-02 4.860835e+01 0.000000e+00
 6.000000e+00 7.838234e+02 5.999465e-01 7.838234e+02 1.519814e-01 1.960208e+02 0.000000e+00
 8.500000e+00 1.186839e+03 2.542396e-01 1.186839e+03 1.621638e-01 1.607094e+02 0.000000e+00
 1.100000e+01 1.393596e+03 7.617618e-02 1.393596e+03 1.017013e-01 1.235116e+02 0.000000e+00
 1.350000e+01 1.509372e+03 2.039884e-02 1.509372e+03 3.556451e-02 1.106356e+02 0.000000e+00
 1.600000e+01 1.578490e+03 5.513219e-03 1.578490e+03 7.010529e-03 1.065536e+02 0.000000e+00
 1.850000e+01 1.621431e+03 1.569085e-03 1.621431e+03 1.124535e-03 1.032587e+02 0.000000e+00
 2.100000e+01 1.648580e+03 4.673128e-04 1.648580e+03 2.231000e-04 1.011184e+02 0.000000e+00
 2.350000e+01 1.665137e+03 1.446957e-04 1.665137e+03 6.390018e-05 9.724945e+01 0.000000e+00
 2.600000e+01 1.674243e+03 4.640018e-05 1.674243e+03 2.619913e-05 9.297944e+01 0.000000e+00
 2.850000e+01 1.678995e+03 1.548903e-05 1.678995e+03 1.253215e-05 8.839476e+01 0.000000e+00
 3.100000e+01 1.680662e+03 5.372728e-06 1.680662e+03 5.511989e-06 8.378105e+01 0.000000e+00
 3.350000e+01 1.679658e+03 1.928333e-06 1.679658e+03 1.959966e-06 7.933426e+01 0.000000e+00
 3.600000e+01 1.676768e+03 7.137023e-07 1.676768e+03 5.782254e-07 7.513355e+01 0.000000e+00
 3.850000e+01 1.672660e+03 2.720887e-07 1.672660e+03 1.624509e-07 7.118243e+01 0.000000e+00
 4.100000e+01 1.667562e+03 1.074604e-07 1.667562e+03 4.905530e-08 6.730753e+01 0.000000e+00
 4.350000e+01 1.661624e+03 4.323612e-08 1.661624e+03 1.642897e-08 6.382563e+01 0.000000e+00
 4.600000e+01 1.655056e+03 1.767089e-08 1.655056e+03 6.100163e-09 6.414065e+01 0.000000e+00
 4.850000e+01 1.648028e+03 7.495261e-09 1.648028e+03 2.500713e-09 6.091120e+01 0.000000e+00
 5.100000e+01 1.640641e+03 3.182822e-09 1.640641e+03 1.008468e-09 6.043357e+01 0.000000e+00
 5.350000e+01 1.632972e+03 1.457424e-09 1.632972e+03 4.002785e-10 5.117028e+01 0.000000e+00
