# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 3.816912e-03 1.619917e-13 3.816910e-03 8.776817e-10 2.197978e-03 0.000000e+00
 3.500000e+00 2.921899e+02 2.696208e-01 2.700563e+02 4.947864e-02 1.053872e+02 0.000000e+00
 6.000000e+00 1.344852e+03 4.632718e-01 9.319579e+02 1.607285e-01 2.680141e+02 0.000000e+00
 8.500000e+00 2.037098e+03 1.688256e-01 1.250509e+03 1.709122e-01 2.162589e+02 0.000000e+00
 1.100000e+01 2.350756e+03 5.298656e-02 1.405723e+03 1.303202e-01 1.723368e+02 0.000000e+00
 1.350000e+01 2.506768e+03 1.642904e-02 1.489756e+03 6.725742e-02 1.528295e+02 0.000000e+00
 1.600000e+01 2.600976e+03 5.275215e-03 1.537391e+03 2.069810e-02 1.442752e+02 0.000000e+00
 1.850000e+01 2.663943e+03 1.789114e-03 1.564827e+03 4.770689e-03 1.379903e+02 0.000000e+00
 2.100000e+01 2.706285e+03 6.316401e-04 1.579522e+03 1.085292e-03 1.324385e+02 0.000000e+00
 2.350000e+01 2.735383e+03 2.313892e-04 1.587164e+03 2.975999e-04 1.256211e+02 0.000000e+00
 2.600000e+01 2.755020e+03 8.689315e-05 1.590343e+03 1.034670e-04 1.191779e+02 0.000000e+00
 2.850000e+01 2.765447e+03 3.337456e-05 1.589673e+03 4.425653e-05 1.129747e+02 0.000000e+00
 3.100000e+01 2.767889e+03 1.313947e-05 1.586440e+03 2.067740e-05 1.069703e+02 0.000000e+00
 3.350000e+01 2.764494e+03 5.313324e-06 1.581814e+03 9.067119e-06 1.012369e+02 0.000000e+00
 3.600000e+01 2.756695e+03 2.205207e-06 1.576096e+03 3.399600e-06 9.583299e+01 0.000000e+00
 3.850000e+01 2.745700e+03 9.384946e-07 1.569405e+03 1.121811e-06 9.077922e+01 0.000000e+00
 4.100000e+01 2.733029e+03 4.101612e-07 1.562033e+03 3.608924e-07 8.607255e+01 0.000000e+00
 4.350000e+01 2.720066e+03 1.816199e-07 1.554210e+03 1.202110e-07 8.187530e+01 0.000000e+00
 4.600000e+01 2.707755e+03 8.331623e-08 1.546065e+03 4.339293e-08 7.779075e+01 0.000000e+00
 4.850000e+01 2.696608e+03 3.951436e-08 1.537659e+03 1.707684e-08 7.085036e+01 0.000000e+00
 5.100000e+01 2.686890e+03 1.931383e-08 1.529070e+03 7.215657e-09 6.529765e+01 0.000000e+00
 5.350000e+01 2.678641e+03 9.433060e-09 1.520351e+03 2.967568e-09 6.349127e+01 0.000000e+00
