foil, R, var_R 
Ti01, 20417166.923255924, 20124513948.05755 
Ti02, 35977855.03404674, 318979747102.95056 
Ti03, 16905058.31955656, 50567231477.68642 
Ti04, 853504.0342065619, 18731761167.555748 
Ti05, 17567.921374152058, 92191.31841400571 
