# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 3.338574e-05 1.985607e-18 3.338574e-05 4.661478e-12 3.338412e-05 0.000000e+00
 3.500000e+00 1.070581e+02 4.726993e-03 1.042312e+02 9.013599e-03 1.028677e+02 0.000000e+00
 6.000000e+00 1.069326e+03 2.499687e-02 7.995861e+02 3.939974e-02 5.776424e+02 0.000000e+00
 8.500000e+00 1.999863e+03 7.435105e-03 1.249615e+03 3.488880e-02 3.772713e+02 0.000000e+00
 1.100000e+01 2.485210e+03 1.744173e-03 1.484971e+03 2.134088e-02 2.586764e+02 0.000000e+00
 1.350000e+01 2.728817e+03 4.133550e-04 1.617985e+03 7.102411e-03 2.224822e+02 0.000000e+00
 1.600000e+01 2.878809e+03 1.040142e-04 1.698264e+03 1.541980e-03 2.087613e+02 0.000000e+00
 1.850000e+01 2.979816e+03 2.761527e-05 1.748652e+03 2.563640e-04 2.030856e+02 0.000000e+00
 2.100000e+01 3.047377e+03 7.826320e-06 1.780821e+03 5.015310e-05 1.935768e+02 0.000000e+00
 2.350000e+01 3.092898e+03 2.295892e-06 1.801502e+03 1.301922e-05 1.828897e+02 0.000000e+00
 2.600000e+01 3.125372e+03 7.124307e-07 1.814509e+03 4.639897e-06 1.721261e+02 0.000000e+00
 2.850000e+01 3.149050e+03 2.304814e-07 1.821589e+03 1.972805e-06 1.620197e+02 0.000000e+00
 3.100000e+01 3.166634e+03 7.759774e-08 1.824766e+03 8.062686e-07 1.524281e+02 0.000000e+00
 3.350000e+01 3.179481e+03 2.710866e-08 1.825357e+03 2.763797e-07 1.433063e+02 0.000000e+00
 3.600000e+01 3.187436e+03 9.804383e-09 1.823775e+03 8.073811e-08 1.345789e+02 0.000000e+00
 3.850000e+01 3.190481e+03 3.646894e-09 1.820484e+03 2.140515e-08 1.304733e+02 0.000000e+00
 4.100000e+01 3.189221e+03 1.417025e-09 1.816046e+03 6.385820e-09 1.227355e+02 0.000000e+00
 4.350000e+01 3.184204e+03 5.523501e-10 1.810724e+03 2.037956e-09 1.160733e+02 0.000000e+00
 4.600000e+01 3.175916e+03 2.242746e-10 1.804648e+03 7.205590e-10 1.099626e+02 0.000000e+00
 4.850000e+01 3.165043e+03 9.312657e-11 1.797957e+03 2.723506e-10 1.043338e+02 0.000000e+00
 5.100000e+01 3.152483e+03 3.994740e-11 1.790815e+03 1.006985e-10 1.005462e+02 0.000000e+00
 5.350000e+01 3.139065e+03 1.732032e-11 1.783319e+03 3.662822e-11 9.667181e+01 0.000000e+00
