name,energy,flux
SS3,45.150000000000006,6.666666666666667e-07
SS3,45.25,3.3333333333333335e-07
SS3,45.35000000000001,1.3333333333333334e-06
SS3,45.45,3.3333333333333335e-07
SS3,45.55,2.333333333333333e-06
SS3,45.650000000000006,7.333333333333333e-06
SS3,45.75,1.7e-05
SS3,45.85000000000001,1.5e-05
SS3,45.95,2.5666666666666666e-05
SS3,46.05,4.133333333333333e-05
SS3,46.150000000000006,6.833333333333333e-05
SS3,46.25,0.00010966666666666667
SS3,46.35000000000001,0.000163
SS3,46.45,0.00024533333333333335
SS3,46.55,0.0003316666666666667
SS3,46.650000000000006,0.0004963333333333333
SS3,46.75,0.0007206666666666667
SS3,46.85000000000001,0.0009633333333333333
SS3,46.95,0.0013693333333333333
SS3,47.05,0.001814
SS3,47.150000000000006,0.00241
SS3,47.25,0.003203
SS3,47.35000000000001,0.004156666666666667
SS3,47.45,0.005182666666666667
SS3,47.55,0.006629333333333333
SS3,47.650000000000006,0.008185666666666667
SS3,47.75,0.009877666666666667
SS3,47.85000000000001,0.011961666666666667
SS3,47.95,0.014157
SS3,48.05,0.016493333333333332
SS3,48.150000000000006,0.018945
SS3,48.25,0.021654666666666666
SS3,48.35000000000001,0.024379666666666668
SS3,48.45,0.027099
SS3,48.55,0.029585666666666666
SS3,48.650000000000006,0.032227
SS3,48.75,0.03457166666666667
SS3,48.85000000000001,0.03656533333333333
SS3,48.95,0.038266666666666664
SS3,49.05,0.039874
SS3,49.150000000000006,0.04103433333333333
SS3,49.25,0.041682666666666666
SS3,49.35000000000001,0.04186566666666667
SS3,49.45,0.041827333333333334
SS3,49.55,0.04135666666666667
SS3,49.650000000000006,0.040384
SS3,49.75,0.039231
SS3,49.85000000000001,0.03715
SS3,49.95,0.035357
SS3,50.05,0.033097
SS3,50.150000000000006,0.030522666666666667
SS3,50.25,0.027809
SS3,50.35000000000001,0.025172333333333335
SS3,50.45,0.022341333333333335
SS3,50.55,0.019471
SS3,50.650000000000006,0.016968666666666667
SS3,50.75,0.014543333333333333
SS3,50.85000000000001,0.012232666666666666
SS3,50.95,0.010127
SS3,51.05,0.008322
SS3,51.150000000000006,0.006654
SS3,51.25,0.005315333333333333
SS3,51.35000000000001,0.004142333333333333
SS3,51.45,0.0031476666666666667
SS3,51.55,0.0023883333333333335
SS3,51.650000000000006,0.0018023333333333333
SS3,51.75,0.0012883333333333334
SS3,51.85000000000001,0.0009303333333333334
SS3,51.95,0.0006713333333333334
SS3,52.05,0.000451
SS3,52.150000000000006,0.0003043333333333333
SS3,52.25,0.00020866666666666668
SS3,52.35000000000001,0.000142
SS3,52.45,9.566666666666667e-05
SS3,52.55,5.433333333333333e-05
SS3,52.650000000000006,3.8e-05
SS3,52.75,2.0666666666666666e-05
SS3,52.85000000000001,1.3e-05
SS3,52.95,6.333333333333333e-06
SS3,53.05,5e-06
SS3,53.150000000000006,2.333333333333333e-06
SS3,53.25,3e-06
SS3,53.35000000000001,1e-06
SS3,53.45,0.0
SS3,53.55,0.0
SS3,53.650000000000006,0.0
SS3,53.75,0.0
SS3,53.85000000000001,3.3333333333333335e-07
Kapton1,45.05,1e-06
Kapton1,45.150000000000006,1e-06
Kapton1,45.25,2.333333333333333e-06
Kapton1,45.35000000000001,2.666666666666667e-06
Kapton1,45.45,2.666666666666667e-06
Kapton1,45.55,1.3333333333333333e-05
Kapton1,45.650000000000006,2.7666666666666667e-05
Kapton1,45.75,5.133333333333333e-05
Kapton1,45.85000000000001,5.3e-05
Kapton1,45.95,8.366666666666666e-05
Kapton1,46.05,0.00014733333333333333
Kapton1,46.150000000000006,0.000241
Kapton1,46.25,0.0003623333333333333
Kapton1,46.35000000000001,0.0005233333333333333
Kapton1,46.45,0.0007573333333333334
Kapton1,46.55,0.0010853333333333333
Kapton1,46.650000000000006,0.001602
Kapton1,46.75,0.002167333333333333
Kapton1,46.85000000000001,0.0030183333333333334
Kapton1,46.95,0.004104333333333333
Kapton1,47.05,0.005306666666666667
Kapton1,47.150000000000006,0.007051
Kapton1,47.25,0.009179333333333333
Kapton1,47.35000000000001,0.011520333333333334
Kapton1,47.45,0.014209666666666667
Kapton1,47.55,0.017554666666666666
Kapton1,47.650000000000006,0.021171666666666665
Kapton1,47.75,0.0249
Kapton1,47.85000000000001,0.028992
Kapton1,47.95,0.03308333333333333
Kapton1,48.05,0.037123666666666666
Kapton1,48.150000000000006,0.04080866666666667
Kapton1,48.25,0.04439866666666667
Kapton1,48.35000000000001,0.047421
Kapton1,48.45,0.049959
Kapton1,48.55,0.051362
Kapton1,48.650000000000006,0.052054666666666666
Kapton1,48.75,0.052129
Kapton1,48.85000000000001,0.050724
Kapton1,48.95,0.048751333333333334
Kapton1,49.05,0.046475
Kapton1,49.150000000000006,0.043027333333333334
Kapton1,49.25,0.03916
Kapton1,49.35000000000001,0.03535166666666667
Kapton1,49.45,0.03140066666666667
Kapton1,49.55,0.027535333333333332
Kapton1,49.650000000000006,0.023388
Kapton1,49.75,0.01964166666666667
Kapton1,49.85000000000001,0.016277333333333335
Kapton1,49.95,0.013265333333333334
Kapton1,50.05,0.010600333333333333
Kapton1,50.150000000000006,0.008307333333333333
Kapton1,50.25,0.006366
Kapton1,50.35000000000001,0.004922
Kapton1,50.45,0.003666
Kapton1,50.55,0.0025873333333333334
Kapton1,50.650000000000006,0.0019386666666666667
Kapton1,50.75,0.0013566666666666666
Kapton1,50.85000000000001,0.0009123333333333334
Kapton1,50.95,0.00063
Kapton1,51.05,0.0004626666666666667
