natTi(d,x)48V					
 					
					
	fit	fit			
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
10.1	115.28	6.11	5.48E-01	1.48E+01	5.47E-01
10.2	120.94	6.41	5.84E-01	1.58E+01	5.84E-01
10.3	126.59	6.71	6.23E-01	1.68E+01	6.23E-01
10.4	132.22	7.01	6.64E-01	1.79E+01	6.63E-01
10.5	137.84	7.31	7.07E-01	1.91E+01	7.06E-01
10.6	143.42	7.60	7.51E-01	2.03E+01	7.51E-01
10.7	148.97	7.90	7.98E-01	2.16E+01	7.98E-01
10.8	154.49	8.19	8.47E-01	2.29E+01	8.46E-01
10.9	159.96	8.48	8.98E-01	2.43E+01	8.97E-01
11.0	165.39	8.73	9.51E-01	2.57E+01	9.50E-01
11.1	170.76	9.02	1.01E+00	2.72E+01	1.01E+00
11.2	176.07	9.30	1.06E+00	2.87E+01	1.06E+00
11.3	181.33	9.57	1.12E+00	3.03E+01	1.12E+00
11.4	186.52	9.85	1.18E+00	3.20E+01	1.18E+00
11.5	191.64	10.12	1.25E+00	3.37E+01	1.25E+00
11.6	196.70	10.39	1.31E+00	3.55E+01	1.31E+00
11.7	201.68	10.65	1.38E+00	3.73E+01	1.38E+00
11.8	206.59	10.91	1.45E+00	3.92E+01	1.45E+00
11.9	211.42	11.16	1.52E+00	4.11E+01	1.52E+00
12.0	216.17	11.35	1.59E+00	4.31E+01	1.59E+00
12.1	220.83	11.59	1.67E+00	4.51E+01	1.67E+00
12.2	225.41	11.83	1.75E+00	4.72E+01	1.75E+00
12.3	229.90	12.07	1.83E+00	4.94E+01	1.83E+00
12.4	234.30	12.30	1.91E+00	5.16E+01	1.91E+00
12.5	238.61	12.53	1.99E+00	5.38E+01	1.99E+00
12.6	242.82	12.75	2.08E+00	5.62E+01	2.08E+00
12.7	246.94	12.96	2.17E+00	5.85E+01	2.16E+00
12.8	250.96	13.18	2.25E+00	6.09E+01	2.25E+00
12.9	254.89	13.38	2.35E+00	6.34E+01	2.34E+00
13.0	258.71	13.63	2.44E+00	6.59E+01	2.44E+00
13.1	262.44	13.83	2.53E+00	6.85E+01	2.53E+00
13.2	266.06	14.02	2.63E+00	7.11E+01	2.63E+00
13.3	269.58	14.21	2.73E+00	7.38E+01	2.73E+00
13.4	272.99	14.39	2.83E+00	7.65E+01	2.83E+00
13.5	276.30	14.56	2.93E+00	7.92E+01	2.93E+00
13.6	279.50	14.73	3.04E+00	8.21E+01	3.03E+00
13.7	282.60	14.89	3.14E+00	8.49E+01	3.14E+00
13.8	285.60	15.05	3.25E+00	8.78E+01	3.25E+00
13.9	288.49	15.20	3.36E+00	9.08E+01	3.35E+00
14.0	291.27	15.38	3.47E+00	9.37E+01	3.47E+00
14.1	293.94	15.52	3.58E+00	9.68E+01	3.58E+00
14.2	296.51	15.66	3.69E+00	9.98E+01	3.69E+00
14.3	298.97	15.79	3.81E+00	1.03E+02	3.81E+00
14.4	301.32	15.91	3.93E+00	1.06E+02	3.92E+00
14.5	303.57	16.03	4.04E+00	1.09E+02	4.04E+00
14.6	305.72	16.14	4.16E+00	1.13E+02	4.16E+00
14.7	307.76	16.25	4.29E+00	1.16E+02	4.28E+00
14.8	309.69	16.35	4.41E+00	1.19E+02	4.40E+00
14.9	311.52	16.45	4.53E+00	1.22E+02	4.53E+00
15.0	313.25	16.41	4.66E+00	1.26E+02	4.65E+00
15.1	314.88	16.50	4.78E+00	1.29E+02	4.78E+00
15.2	316.40	16.58	4.91E+00	1.33E+02	4.91E+00
15.3	317.83	16.65	5.04E+00	1.36E+02	5.03E+00
15.4	319.15	16.72	5.17E+00	1.40E+02	5.16E+00
15.5	320.38	16.79	5.30E+00	1.43E+02	5.29E+00
15.6	321.51	16.85	5.43E+00	1.47E+02	5.43E+00
15.7	322.54	16.90	5.56E+00	1.50E+02	5.56E+00
15.8	323.47	16.95	5.70E+00	1.54E+02	5.69E+00
15.9	324.32	16.99	5.83E+00	1.58E+02	5.83E+00
16.0	325.06	17.00	5.97E+00	1.61E+02	5.96E+00
16.1	325.72	17.04	6.11E+00	1.65E+02	6.10E+00
16.2	326.29	17.06	6.24E+00	1.69E+02	6.24E+00
16.3	326.76	17.09	6.38E+00	1.72E+02	6.38E+00
16.4	327.15	17.11	6.52E+00	1.76E+02	6.51E+00
16.5	327.45	17.13	6.66E+00	1.80E+02	6.65E+00
16.6	327.67	17.14	6.80E+00	1.84E+02	6.79E+00
16.7	327.80	17.14	6.94E+00	1.88E+02	6.94E+00
16.8	327.85	17.15	7.08E+00	1.91E+02	7.08E+00
16.9	327.82	17.14	7.23E+00	1.95E+02	7.22E+00
17.0	327.70	16.98	7.37E+00	1.99E+02	7.36E+00
17.1	327.51	16.97	7.51E+00	2.03E+02	7.51E+00
17.2	327.24	16.95	7.66E+00	2.07E+02	7.65E+00
17.3	326.90	16.93	7.80E+00	2.11E+02	7.79E+00
17.4	326.48	16.91	7.95E+00	2.15E+02	7.94E+00
17.5	325.99	16.89	8.09E+00	2.19E+02	8.08E+00
17.6	325.43	16.86	8.24E+00	2.23E+02	8.23E+00
17.7	324.80	16.82	8.38E+00	2.27E+02	8.38E+00
17.8	324.09	16.79	8.53E+00	2.31E+02	8.52E+00
17.9	323.33	16.75	8.68E+00	2.35E+02	8.67E+00
18.0	322.49	16.61	8.83E+00	2.39E+02	8.82E+00
18.1	321.60	16.56	8.97E+00	2.43E+02	8.97E+00
18.2	320.64	16.51	9.12E+00	2.47E+02	9.11E+00
18.3	319.62	16.46	9.27E+00	2.51E+02	9.26E+00
18.4	318.54	16.40	9.42E+00	2.55E+02	9.41E+00
18.5	317.41	16.35	9.57E+00	2.59E+02	9.56E+00
18.6	316.22	16.29	9.72E+00	2.63E+02	9.71E+00
18.7	314.97	16.22	9.87E+00	2.67E+02	9.86E+00
18.8	313.67	16.15	1.00E+01	2.71E+02	1.00E+01
18.9	312.33	16.08	1.02E+01	2.75E+02	1.02E+01
19.0	310.93	16.01	1.03E+01	2.79E+02	1.03E+01
19.1	309.48	15.94	1.05E+01	2.83E+02	1.05E+01
19.2	307.99	15.86	1.06E+01	2.87E+02	1.06E+01
19.3	306.45	15.78	1.08E+01	2.91E+02	1.08E+01
19.4	304.87	15.70	1.09E+01	2.95E+02	1.09E+01
19.5	303.25	15.62	1.11E+01	2.99E+02	1.11E+01
19.6	301.58	15.53	1.12E+01	3.03E+02	1.12E+01
19.7	299.88	15.44	1.14E+01	3.07E+02	1.14E+01
19.8	298.15	15.35	1.15E+01	3.11E+02	1.15E+01
19.9	296.38	15.26	1.17E+01	3.15E+02	1.17E+01
20.0	294.57	15.17	1.18E+01	3.19E+02	1.18E+01
20.1	292.73	15.08	1.20E+01	3.23E+02	1.20E+01
20.2	290.87	14.98	1.21E+01	3.27E+02	1.21E+01
20.3	288.97	14.88	1.23E+01	3.31E+02	1.22E+01
20.4	287.05	14.78	1.24E+01	3.35E+02	1.24E+01
20.5	285.10	14.68	1.26E+01	3.39E+02	1.25E+01
20.6	283.12	14.58	1.27E+01	3.43E+02	1.27E+01
20.7	281.13	14.48	1.28E+01	3.47E+02	1.28E+01
20.8	279.11	14.37	1.30E+01	3.51E+02	1.30E+01
20.9	277.07	14.27	1.31E+01	3.55E+02	1.31E+01
21.0	275.01	14.16	1.33E+01	3.59E+02	1.33E+01
21.1	272.94	14.06	1.34E+01	3.63E+02	1.34E+01
21.2	270.85	13.95	1.36E+01	3.67E+02	1.36E+01
21.3	268.75	13.84	1.37E+01	3.70E+02	1.37E+01
21.4	266.63	13.73	1.38E+01	3.74E+02	1.38E+01
21.5	264.50	13.62	1.40E+01	3.78E+02	1.40E+01
21.6	262.37	13.51	1.41E+01	3.82E+02	1.41E+01
21.7	260.22	13.40	1.43E+01	3.86E+02	1.43E+01
