natTi(d,x)46Sc					
 					
					
	fit	fit			
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
11.1	34.61	1.45	6.77E-02	1.83E+00	6.77E-02
11.2	34.81	1.46	6.99E-02	1.89E+00	6.98E-02
11.3	35.00	1.47	7.20E-02	1.95E+00	7.20E-02
11.4	35.16	1.48	7.42E-02	2.01E+00	7.42E-02
11.5	35.30	1.48	7.65E-02	2.07E+00	7.64E-02
11.6	35.43	1.49	7.87E-02	2.13E+00	7.87E-02
11.7	35.54	1.49	8.10E-02	2.19E+00	8.09E-02
11.8	35.63	1.50	8.32E-02	2.25E+00	8.32E-02
11.9	35.70	1.50	8.55E-02	2.31E+00	8.55E-02
12.0	35.75	1.48	8.79E-02	2.37E+00	8.79E-02
12.1	35.79	1.49	9.02E-02	2.44E+00	9.02E-02
12.2	35.80	1.49	9.26E-02	2.50E+00	9.25E-02
12.3	35.81	1.49	9.49E-02	2.57E+00	9.49E-02
12.4	35.79	1.49	9.73E-02	2.63E+00	9.73E-02
12.5	35.76	1.48	9.97E-02	2.69E+00	9.97E-02
12.6	35.72	1.48	1.02E-01	2.76E+00	1.02E-01
12.7	35.66	1.48	1.04E-01	2.82E+00	1.04E-01
12.8	35.59	1.48	1.07E-01	2.89E+00	1.07E-01
12.9	35.50	1.47	1.09E-01	2.95E+00	1.09E-01
13.0	35.40	1.47	1.12E-01	3.02E+00	1.12E-01
13.1	35.29	1.46	1.14E-01	3.09E+00	1.14E-01
13.2	35.17	1.46	1.17E-01	3.15E+00	1.17E-01
13.3	35.03	1.45	1.19E-01	3.22E+00	1.19E-01
13.4	34.88	1.45	1.22E-01	3.28E+00	1.22E-01
13.5	34.73	1.44	1.24E-01	3.35E+00	1.24E-01
13.6	34.56	1.43	1.26E-01	3.42E+00	1.26E-01
13.7	34.39	1.43	1.29E-01	3.48E+00	1.29E-01
13.8	34.21	1.42	1.31E-01	3.55E+00	1.31E-01
13.9	34.02	1.41	1.34E-01	3.62E+00	1.34E-01
14.0	33.82	1.40	1.36E-01	3.68E+00	1.36E-01
14.1	33.62	1.40	1.39E-01	3.75E+00	1.39E-01
14.2	33.41	1.39	1.41E-01	3.81E+00	1.41E-01
14.3	33.20	1.38	1.44E-01	3.88E+00	1.44E-01
14.4	32.98	1.37	1.46E-01	3.95E+00	1.46E-01
14.5	32.76	1.36	1.48E-01	4.01E+00	1.48E-01
14.6	32.54	1.35	1.51E-01	4.08E+00	1.51E-01
14.7	32.31	1.34	1.53E-01	4.14E+00	1.53E-01
14.8	32.08	1.33	1.56E-01	4.21E+00	1.56E-01
14.9	31.85	1.32	1.58E-01	4.27E+00	1.58E-01
15.0	31.61	1.31	1.60E-01	4.34E+00	1.60E-01
15.1	31.38	1.30	1.63E-01	4.40E+00	1.63E-01
15.2	31.14	1.29	1.65E-01	4.47E+00	1.65E-01
15.3	30.91	1.28	1.68E-01	4.53E+00	1.68E-01
15.4	30.67	1.27	1.70E-01	4.60E+00	1.70E-01
15.5	30.44	1.26	1.72E-01	4.66E+00	1.72E-01
15.6	30.21	1.25	1.75E-01	4.72E+00	1.75E-01
15.7	29.97	1.24	1.77E-01	4.79E+00	1.77E-01
15.8	29.75	1.23	1.79E-01	4.85E+00	1.79E-01
15.9	29.52	1.22	1.82E-01	4.91E+00	1.82E-01
16.0	29.29	1.22	1.84E-01	4.98E+00	1.84E-01
16.1	29.07	1.21	1.86E-01	5.04E+00	1.86E-01
16.2	28.85	1.20	1.89E-01	5.10E+00	1.89E-01
16.3	28.64	1.19	1.91E-01	5.17E+00	1.91E-01
16.4	28.42	1.18	1.93E-01	5.23E+00	1.93E-01
16.5	28.22	1.17	1.96E-01	5.29E+00	1.96E-01
16.6	28.01	1.16	1.98E-01	5.35E+00	1.98E-01
16.7	27.81	1.15	2.00E-01	5.41E+00	2.00E-01
16.8	27.61	1.15	2.03E-01	5.47E+00	2.03E-01
16.9	27.42	1.14	2.05E-01	5.54E+00	2.05E-01
17.0	27.23	1.12	2.07E-01	5.60E+00	2.07E-01
