85Rb(a,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
32.7	531.5	34.0	1.39E+01	3.74E-01	1.35E+01	2.95E+02
32.8	539.9	34.5	1.44E+01	3.88E-01	1.40E+01	3.05E+02
32.9	548.2	35.0	1.49E+01	4.02E-01	1.45E+01	3.16E+02
33.0	556.5	32.8	1.54E+01	4.16E-01	1.50E+01	3.27E+02
33.1	564.6	33.3	1.59E+01	4.30E-01	1.55E+01	3.38E+02
33.2	572.8	33.8	1.64E+01	4.44E-01	1.61E+01	3.50E+02
33.3	580.8	34.3	1.70E+01	4.59E-01	1.66E+01	3.61E+02
33.4	588.9	34.7	1.75E+01	4.74E-01	1.71E+01	3.73E+02
33.5	596.9	35.2	1.81E+01	4.90E-01	1.77E+01	3.85E+02
33.6	604.9	35.7	1.87E+01	5.05E-01	1.83E+01	3.97E+02
33.7	612.8	36.1	1.93E+01	5.21E-01	1.88E+01	4.10E+02
33.8	620.7	36.6	1.99E+01	5.37E-01	1.94E+01	4.23E+02
33.9	628.6	37.1	2.05E+01	5.53E-01	2.00E+01	4.35E+02
34.0	636.5	36.4	2.11E+01	5.70E-01	2.06E+01	4.48E+02
34.1	644.4	36.8	2.17E+01	5.87E-01	2.12E+01	4.62E+02
34.2	652.3	37.3	2.23E+01	6.04E-01	2.18E+01	4.75E+02
34.3	660.2	37.7	2.30E+01	6.21E-01	2.24E+01	4.88E+02
34.4	668.2	38.2	2.36E+01	6.38E-01	2.31E+01	5.02E+02
34.5	676.1	38.6	2.43E+01	6.56E-01	2.37E+01	5.16E+02
34.6	684.0	39.1	2.49E+01	6.74E-01	2.43E+01	5.30E+02
34.7	691.9	39.6	2.56E+01	6.92E-01	2.50E+01	5.44E+02
34.8	699.9	40.0	2.63E+01	7.10E-01	2.57E+01	5.58E+02
34.9	707.9	40.5	2.69E+01	7.28E-01	2.63E+01	5.73E+02
35.0	715.9	41.4	2.76E+01	7.47E-01	2.70E+01	5.87E+02
35.1	723.9	41.8	2.83E+01	7.65E-01	2.77E+01	6.02E+02
35.2	732.0	42.3	2.90E+01	7.84E-01	2.83E+01	6.17E+02
35.3	740.1	42.8	2.97E+01	8.03E-01	2.90E+01	6.32E+02
35.4	748.2	43.2	3.04E+01	8.22E-01	2.97E+01	6.47E+02
35.5	756.4	43.7	3.11E+01	8.42E-01	3.04E+01	6.62E+02
35.6	764.5	44.2	3.19E+01	8.61E-01	3.11E+01	6.78E+02
35.7	772.7	44.7	3.26E+01	8.81E-01	3.18E+01	6.93E+02
35.8	781.0	45.1	3.33E+01	9.01E-01	3.26E+01	7.09E+02
35.9	789.2	45.6	3.41E+01	9.21E-01	3.33E+01	7.25E+02
36.0	797.5	46.9	3.48E+01	9.41E-01	3.40E+01	7.41E+02
36.1	805.8	47.4	3.56E+01	9.62E-01	3.48E+01	7.57E+02
36.2	814.1	47.9	3.64E+01	9.83E-01	3.55E+01	7.73E+02
36.3	822.4	48.3	3.71E+01	1.00E+00	3.63E+01	7.90E+02
36.4	830.7	48.8	3.79E+01	1.03E+00	3.70E+01	8.07E+02
36.5	839.1	49.3	3.87E+01	1.05E+00	3.78E+01	8.23E+02
36.6	847.4	49.8	3.95E+01	1.07E+00	3.86E+01	8.41E+02
36.7	855.7	50.3	4.03E+01	1.09E+00	3.94E+01	8.58E+02
36.8	864.0	50.8	4.12E+01	1.11E+00	4.02E+01	8.75E+02
36.9	872.3	51.3	4.20E+01	1.14E+00	4.10E+01	8.93E+02
37.0	880.6	51.4	4.28E+01	1.16E+00	4.18E+01	9.11E+02
37.1	888.8	51.9	4.37E+01	1.18E+00	4.27E+01	9.29E+02
37.2	897.0	52.3	4.46E+01	1.20E+00	4.35E+01	9.47E+02
37.3	905.1	52.8	4.54E+01	1.23E+00	4.44E+01	9.66E+02
37.4	913.2	53.3	4.63E+01	1.25E+00	4.52E+01	9.85E+02
37.5	921.2	53.8	4.72E+01	1.28E+00	4.61E+01	1.00E+03
37.6	929.2	54.2	4.81E+01	1.30E+00	4.70E+01	1.02E+03
37.7	937.0	54.7	4.90E+01	1.33E+00	4.79E+01	1.04E+03
37.8	944.8	55.1	5.00E+01	1.35E+00	4.88E+01	1.06E+03
37.9	952.4	55.6	5.09E+01	1.38E+00	4.97E+01	1.08E+03
38.0	959.9	54.8	5.19E+01	1.40E+00	5.07E+01	1.10E+03
38.1	967.3	55.2	5.28E+01	1.43E+00	5.16E+01	1.12E+03
38.2	974.6	55.6	5.38E+01	1.45E+00	5.26E+01	1.14E+03
38.3	981.7	56.0	5.48E+01	1.48E+00	5.35E+01	1.16E+03
38.4	988.6	56.4	5.58E+01	1.51E+00	5.45E+01	1.19E+03
38.5	995.4	56.8	5.68E+01	1.53E+00	5.55E+01	1.21E+03
38.6	1002.0	57.2	5.78E+01	1.56E+00	5.64E+01	1.23E+03
38.7	1008.3	57.5	5.88E+01	1.59E+00	5.74E+01	1.25E+03
38.8	1014.5	57.9	5.98E+01	1.62E+00	5.85E+01	1.27E+03
38.9	1020.4	58.2	6.09E+01	1.65E+00	5.95E+01	1.29E+03
39.0	1026.1	58.5	6.19E+01	1.67E+00	6.05E+01	1.32E+03
39.1	1031.6	58.8	6.30E+01	1.70E+00	6.15E+01	1.34E+03
39.2	1036.8	59.1	6.40E+01	1.73E+00	6.26E+01	1.36E+03
39.3	1041.7	59.3	6.51E+01	1.76E+00	6.36E+01	1.38E+03
39.4	1046.3	59.6	6.62E+01	1.79E+00	6.47E+01	1.41E+03
39.5	1050.7	59.9	6.73E+01	1.82E+00	6.57E+01	1.43E+03
39.6	1054.8	60.1	6.84E+01	1.85E+00	6.68E+01	1.45E+03
39.7	1058.5	60.3	6.95E+01	1.88E+00	6.78E+01	1.48E+03
39.8	1061.9	60.5	7.06E+01	1.91E+00	6.89E+01	1.50E+03
39.9	1065.0	60.7	7.17E+01	1.94E+00	7.00E+01	1.52E+03
40.0	1067.8	64.5	7.28E+01	1.97E+00	7.11E+01	1.55E+03
40.1	1070.1	64.6	7.39E+01	2.00E+00	7.22E+01	1.57E+03
40.2	1072.2	64.8	7.50E+01	2.03E+00	7.33E+01	1.59E+03
40.3	1073.9	64.9	7.61E+01	2.06E+00	7.44E+01	1.62E+03
40.4	1075.3	65.0	7.72E+01	2.09E+00	7.55E+01	1.64E+03
40.5	1076.3	65.0	7.84E+01	2.12E+00	7.66E+01	1.67E+03
40.6	1076.9	65.1	7.95E+01	2.15E+00	7.77E+01	1.69E+03
40.7	1077.2	65.1	8.06E+01	2.18E+00	7.88E+01	1.71E+03
40.8	1077.2	65.1	8.18E+01	2.21E+00	7.99E+01	1.74E+03
40.9	1076.8	65.1	8.29E+01	2.24E+00	8.10E+01	1.76E+03
41.0	1076.1	65.0	8.40E+01	2.27E+00	8.21E+01	1.79E+03
41.1	1075.1	64.9	8.51E+01	2.30E+00	8.32E+01	1.81E+03
41.2	1073.7	64.9	8.63E+01	2.33E+00	8.43E+01	1.83E+03
41.3	1071.9	64.8	8.74E+01	2.36E+00	8.54E+01	1.86E+03
41.4	1069.9	64.6	8.85E+01	2.39E+00	8.65E+01	1.88E+03
41.5	1067.5	64.5	8.97E+01	2.42E+00	8.76E+01	1.91E+03
41.6	1064.7	64.3	9.08E+01	2.45E+00	8.87E+01	1.93E+03
41.7	1061.6	64.1	9.19E+01	2.48E+00	8.98E+01	1.96E+03
41.8	1058.2	63.9	9.31E+01	2.52E+00	9.09E+01	1.98E+03
41.9	1054.4	63.7	9.42E+01	2.55E+00	9.20E+01	2.00E+03
42.0	1050.3	68.3	9.53E+01	2.58E+00	9.31E+01	2.03E+03
42.1	1045.9	68.0	9.64E+01	2.61E+00	9.42E+01	2.05E+03
42.2	1041.2	67.7	9.75E+01	2.64E+00	9.53E+01	2.07E+03
42.3	1036.1	67.4	9.86E+01	2.67E+00	9.64E+01	2.10E+03
42.4	1030.8	67.0	9.98E+01	2.70E+00	9.74E+01	2.12E+03
