86Sr(p,n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
40.2	55.1	7.8	1.02E+03	2.74E+01	9.92E+02	2.16E+04
40.3	55.0	7.8	1.02E+03	2.75E+01	9.93E+02	2.16E+04
40.4	54.9	7.8	1.02E+03	2.75E+01	9.94E+02	2.16E+04
40.5	54.8	7.8	1.02E+03	2.75E+01	9.95E+02	2.17E+04
40.6	54.8	7.8	1.02E+03	2.76E+01	9.96E+02	2.17E+04
40.7	54.7	7.8	1.02E+03	2.76E+01	9.98E+02	2.17E+04
40.8	54.6	7.8	1.02E+03	2.76E+01	9.99E+02	2.17E+04
40.9	54.6	7.8	1.02E+03	2.77E+01	1.00E+03	2.18E+04
41.0	54.5	7.7	1.02E+03	2.77E+01	1.00E+03	2.18E+04
41.1	54.5	7.7	1.03E+03	2.77E+01	1.00E+03	2.18E+04
41.2	54.4	7.7	1.03E+03	2.78E+01	1.00E+03	2.18E+04
41.3	54.3	7.7	1.03E+03	2.78E+01	1.00E+03	2.19E+04
41.4	54.3	7.7	1.03E+03	2.78E+01	1.01E+03	2.19E+04
41.5	54.2	7.7	1.03E+03	2.79E+01	1.01E+03	2.19E+04
41.6	54.1	7.7	1.03E+03	2.79E+01	1.01E+03	2.20E+04
41.7	54.1	7.7	1.03E+03	2.79E+01	1.01E+03	2.20E+04
41.8	54.0	7.7	1.03E+03	2.80E+01	1.01E+03	2.20E+04
41.9	54.0	7.7	1.04E+03	2.80E+01	1.01E+03	2.20E+04
42.0	53.9	7.7	1.04E+03	2.80E+01	1.01E+03	2.21E+04
42.1	53.8	7.7	1.04E+03	2.81E+01	1.01E+03	2.21E+04
42.2	53.8	7.6	1.04E+03	2.81E+01	1.02E+03	2.21E+04
42.3	53.7	7.6	1.04E+03	2.81E+01	1.02E+03	2.21E+04
42.4	53.7	7.6	1.04E+03	2.82E+01	1.02E+03	2.22E+04
42.5	53.6	7.6	1.04E+03	2.82E+01	1.02E+03	2.22E+04
42.6	53.5	7.6	1.05E+03	2.82E+01	1.02E+03	2.22E+04
42.7	53.5	7.6	1.05E+03	2.83E+01	1.02E+03	2.23E+04
42.8	53.4	7.6	1.05E+03	2.83E+01	1.02E+03	2.23E+04
42.9	53.4	7.6	1.05E+03	2.83E+01	1.02E+03	2.23E+04
43.0	53.3	7.6	1.05E+03	2.84E+01	1.03E+03	2.23E+04
43.1	53.2	7.6	1.05E+03	2.84E+01	1.03E+03	2.24E+04
43.2	53.2	7.6	1.05E+03	2.84E+01	1.03E+03	2.24E+04
43.3	53.1	7.6	1.05E+03	2.85E+01	1.03E+03	2.24E+04
43.4	53.1	7.5	1.06E+03	2.85E+01	1.03E+03	2.24E+04
43.5	53.0	7.5	1.06E+03	2.86E+01	1.03E+03	2.25E+04
43.6	53.0	7.5	1.06E+03	2.86E+01	1.03E+03	2.25E+04
43.7	52.9	7.5	1.06E+03	2.86E+01	1.03E+03	2.25E+04
43.8	52.9	7.5	1.06E+03	2.87E+01	1.04E+03	2.25E+04
43.9	52.8	7.5	1.06E+03	2.87E+01	1.04E+03	2.26E+04
44.0	52.8	7.5	1.06E+03	2.87E+01	1.04E+03	2.26E+04
44.1	52.7	7.5	1.06E+03	2.88E+01	1.04E+03	2.26E+04
44.2	52.6	7.5	1.07E+03	2.88E+01	1.04E+03	2.27E+04
44.3	52.6	7.5	1.07E+03	2.88E+01	1.04E+03	2.27E+04
44.4	52.5	7.5	1.07E+03	2.89E+01	1.04E+03	2.27E+04
44.5	52.5	7.5	1.07E+03	2.89E+01	1.04E+03	2.27E+04
44.6	52.4	7.5	1.07E+03	2.89E+01	1.05E+03	2.28E+04
44.7	52.4	7.4	1.07E+03	2.90E+01	1.05E+03	2.28E+04
44.8	52.3	7.4	1.07E+03	2.90E+01	1.05E+03	2.28E+04
44.9	52.3	7.4	1.07E+03	2.90E+01	1.05E+03	2.28E+04
45.0	52.2	9.9	1.08E+03	2.91E+01	1.05E+03	2.29E+04
45.1	52.2	9.9	1.08E+03	2.91E+01	1.05E+03	2.29E+04
45.2	52.1	9.9	1.08E+03	2.91E+01	1.05E+03	2.29E+04
45.3	52.1	9.9	1.08E+03	2.92E+01	1.05E+03	2.30E+04
45.4	52.0	9.9	1.08E+03	2.92E+01	1.06E+03	2.30E+04
45.5	52.0	9.9	1.08E+03	2.92E+01	1.06E+03	2.30E+04
45.6	51.9	9.9	1.08E+03	2.93E+01	1.06E+03	2.30E+04
45.7	51.9	9.8	1.08E+03	2.93E+01	1.06E+03	2.31E+04
45.8	51.8	9.8	1.09E+03	2.94E+01	1.06E+03	2.31E+04
45.9	51.8	9.8	1.09E+03	2.94E+01	1.06E+03	2.31E+04
46.0	51.8	9.8	1.09E+03	2.94E+01	1.06E+03	2.31E+04
46.1	51.7	9.8	1.09E+03	2.95E+01	1.06E+03	2.32E+04
46.2	51.7	9.8	1.09E+03	2.95E+01	1.07E+03	2.32E+04
46.3	51.6	9.8	1.09E+03	2.95E+01	1.07E+03	2.32E+04
46.4	51.6	9.8	1.09E+03	2.96E+01	1.07E+03	2.33E+04
46.5	51.5	9.8	1.10E+03	2.96E+01	1.07E+03	2.33E+04
46.6	51.5	9.8	1.10E+03	2.96E+01	1.07E+03	2.33E+04
46.7	51.4	9.8	1.10E+03	2.97E+01	1.07E+03	2.33E+04
46.8	51.4	9.7	1.10E+03	2.97E+01	1.07E+03	2.34E+04
46.9	51.3	9.7	1.10E+03	2.97E+01	1.07E+03	2.34E+04
47.0	51.3	9.7	1.10E+03	2.98E+01	1.08E+03	2.34E+04
47.1	51.2	9.7	1.10E+03	2.98E+01	1.08E+03	2.35E+04
47.2	51.2	9.7	1.10E+03	2.98E+01	1.08E+03	2.35E+04
47.3	51.2	9.7	1.11E+03	2.99E+01	1.08E+03	2.35E+04
47.4	51.1	9.7	1.11E+03	2.99E+01	1.08E+03	2.35E+04
47.5	51.1	9.7	1.11E+03	2.99E+01	1.08E+03	2.36E+04
47.6	51.0	9.7	1.11E+03	3.00E+01	1.08E+03	2.36E+04
47.7	51.0	9.7	1.11E+03	3.00E+01	1.09E+03	2.36E+04
47.8	50.9	9.7	1.11E+03	3.01E+01	1.09E+03	2.36E+04
47.9	50.9	9.7	1.11E+03	3.01E+01	1.09E+03	2.37E+04
48.0	50.9	9.6	1.11E+03	3.01E+01	1.09E+03	2.37E+04
48.1	50.8	9.6	1.12E+03	3.02E+01	1.09E+03	2.37E+04
48.2	50.8	9.6	1.12E+03	3.02E+01	1.09E+03	2.38E+04
48.3	50.7	9.6	1.12E+03	3.02E+01	1.09E+03	2.38E+04
48.4	50.7	9.6	1.12E+03	3.03E+01	1.09E+03	2.38E+04
48.5	50.6	9.6	1.12E+03	3.03E+01	1.10E+03	2.38E+04
48.6	50.6	9.6	1.12E+03	3.03E+01	1.10E+03	2.39E+04
48.7	50.6	9.6	1.12E+03	3.04E+01	1.10E+03	2.39E+04
48.8	50.5	9.6	1.13E+03	3.04E+01	1.10E+03	2.39E+04
48.9	50.5	9.6	1.13E+03	3.04E+01	1.10E+03	2.40E+04
49.0	50.4	9.6	1.13E+03	3.05E+01	1.10E+03	2.40E+04
49.1	50.4	9.6	1.13E+03	3.05E+01	1.10E+03	2.40E+04
49.2	50.3	9.5	1.13E+03	3.05E+01	1.10E+03	2.40E+04
49.3	50.3	9.5	1.13E+03	3.06E+01	1.11E+03	2.41E+04
49.4	50.3	9.5	1.13E+03	3.06E+01	1.11E+03	2.41E+04
49.5	50.2	9.5	1.13E+03	3.07E+01	1.11E+03	2.41E+04
49.6	50.2	9.5	1.14E+03	3.07E+01	1.11E+03	2.41E+04
49.7	50.1	9.5	1.14E+03	3.07E+01	1.11E+03	2.42E+04
49.8	50.1	9.5	1.14E+03	3.08E+01	1.11E+03	2.42E+04
						
						
						
						
						
						
						
						
						
						
						
						
						
