88Sr(p,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
60.2	67.8	5.1	1.87E+03	5.06E+01	1.83E+03	3.98E+04
60.3	67.5	5.0	1.88E+03	5.07E+01	1.83E+03	3.99E+04
60.4	67.3	5.0	1.88E+03	5.07E+01	1.83E+03	3.99E+04
60.5	67.0	5.0	1.88E+03	5.08E+01	1.84E+03	4.00E+04
60.6	66.8	5.0	1.88E+03	5.09E+01	1.84E+03	4.00E+04
60.7	66.5	5.0	1.88E+03	5.09E+01	1.84E+03	4.01E+04
60.8	66.3	4.9	1.89E+03	5.10E+01	1.84E+03	4.01E+04
60.9	66.0	4.9	1.89E+03	5.10E+01	1.84E+03	4.01E+04
61.0	65.8	4.9	1.89E+03	5.11E+01	1.85E+03	4.02E+04
61.1	65.5	4.9	1.89E+03	5.11E+01	1.85E+03	4.02E+04
61.2	65.3	4.9	1.89E+03	5.12E+01	1.85E+03	4.03E+04
61.3	65.1	4.9	1.90E+03	5.12E+01	1.85E+03	4.03E+04
61.4	64.9	4.8	1.90E+03	5.13E+01	1.85E+03	4.04E+04
61.5	64.6	4.8	1.90E+03	5.13E+01	1.86E+03	4.04E+04
61.6	64.4	4.8	1.90E+03	5.14E+01	1.86E+03	4.04E+04
61.7	64.2	4.8	1.90E+03	5.15E+01	1.86E+03	4.05E+04
61.8	64.0	4.8	1.91E+03	5.15E+01	1.86E+03	4.05E+04
61.9	63.7	4.8	1.91E+03	5.16E+01	1.86E+03	4.06E+04
62.0	63.5	4.7	1.91E+03	5.16E+01	1.87E+03	4.06E+04
62.1	63.3	4.7	1.91E+03	5.17E+01	1.87E+03	4.07E+04
62.2	63.1	4.7	1.91E+03	5.17E+01	1.87E+03	4.07E+04
62.3	62.9	4.7	1.92E+03	5.18E+01	1.87E+03	4.07E+04
62.4	62.7	4.7	1.92E+03	5.18E+01	1.87E+03	4.08E+04
62.5	62.5	4.7	1.92E+03	5.19E+01	1.88E+03	4.08E+04
62.6	62.3	4.6	1.92E+03	5.19E+01	1.88E+03	4.09E+04
62.7	62.1	4.6	1.92E+03	5.20E+01	1.88E+03	4.09E+04
62.8	61.9	4.6	1.93E+03	5.20E+01	1.88E+03	4.09E+04
62.9	61.7	4.6	1.93E+03	5.21E+01	1.88E+03	4.10E+04
63.0	61.5	4.6	1.93E+03	5.21E+01	1.88E+03	4.10E+04
63.1	61.3	4.6	1.93E+03	5.22E+01	1.89E+03	4.11E+04
63.2	61.1	4.6	1.93E+03	5.22E+01	1.89E+03	4.11E+04
63.3	61.0	4.5	1.94E+03	5.23E+01	1.89E+03	4.11E+04
63.4	60.8	4.5	1.94E+03	5.24E+01	1.89E+03	4.12E+04
63.5	60.6	4.5	1.94E+03	5.24E+01	1.89E+03	4.12E+04
63.6	60.4	4.5	1.94E+03	5.25E+01	1.90E+03	4.13E+04
63.7	60.2	4.5	1.94E+03	5.25E+01	1.90E+03	4.13E+04
63.8	60.0	4.5	1.94E+03	5.26E+01	1.90E+03	4.14E+04
63.9	59.9	4.5	1.95E+03	5.26E+01	1.90E+03	4.14E+04
64.0	59.7	4.4	1.95E+03	5.27E+01	1.90E+03	4.14E+04
64.1	59.5	4.4	1.95E+03	5.27E+01	1.91E+03	4.15E+04
64.2	59.3	4.4	1.95E+03	5.28E+01	1.91E+03	4.15E+04
64.3	59.2	4.4	1.95E+03	5.28E+01	1.91E+03	4.16E+04
64.4	59.0	4.4	1.96E+03	5.29E+01	1.91E+03	4.16E+04
64.5	58.8	4.4	1.96E+03	5.29E+01	1.91E+03	4.16E+04
64.6	58.7	4.4	1.96E+03	5.30E+01	1.91E+03	4.17E+04
64.7	58.5	4.4	1.96E+03	5.30E+01	1.92E+03	4.17E+04
64.8	58.3	4.3	1.96E+03	5.31E+01	1.92E+03	4.18E+04
64.9	58.2	4.3	1.97E+03	5.31E+01	1.92E+03	4.18E+04
65.0	58.0	4.3	1.97E+03	5.32E+01	1.92E+03	4.18E+04
65.1	57.9	4.3	1.97E+03	5.32E+01	1.92E+03	4.19E+04
65.2	57.7	4.3	1.97E+03	5.33E+01	1.93E+03	4.19E+04
65.3	57.5	4.3	1.97E+03	5.33E+01	1.93E+03	4.20E+04
65.4	57.4	4.3	1.97E+03	5.34E+01	1.93E+03	4.20E+04
65.5	57.2	4.3	1.98E+03	5.34E+01	1.93E+03	4.20E+04
65.6	57.1	4.2	1.98E+03	5.35E+01	1.93E+03	4.21E+04
65.7	56.9	4.2	1.98E+03	5.35E+01	1.93E+03	4.21E+04
65.8	56.8	4.2	1.98E+03	5.36E+01	1.94E+03	4.22E+04
65.9	56.6	4.2	1.98E+03	5.36E+01	1.94E+03	4.22E+04
66.0	56.5	4.2	1.99E+03	5.37E+01	1.94E+03	4.22E+04
66.1	56.3	4.2	1.99E+03	5.37E+01	1.94E+03	4.23E+04
66.2	56.2	4.2	1.99E+03	5.38E+01	1.94E+03	4.23E+04
66.3	56.0	4.2	1.99E+03	5.38E+01	1.95E+03	4.23E+04
66.4	55.9	4.2	1.99E+03	5.39E+01	1.95E+03	4.24E+04
66.5	55.7	4.1	2.00E+03	5.39E+01	1.95E+03	4.24E+04
66.6	55.6	4.1	2.00E+03	5.40E+01	1.95E+03	4.25E+04
66.7	55.4	4.1	2.00E+03	5.40E+01	1.95E+03	4.25E+04
66.8	55.3	4.1	2.00E+03	5.41E+01	1.95E+03	4.25E+04
66.9	55.1	4.1	2.00E+03	5.41E+01	1.96E+03	4.26E+04
67.0	55.0	4.1	2.00E+03	5.42E+01	1.96E+03	4.26E+04
67.1	54.9	4.1	2.01E+03	5.42E+01	1.96E+03	4.27E+04
67.2	54.7	4.1	2.01E+03	5.43E+01	1.96E+03	4.27E+04
67.3	54.6	4.1	2.01E+03	5.43E+01	1.96E+03	4.27E+04
67.4	54.4	4.0	2.01E+03	5.44E+01	1.96E+03	4.28E+04
67.5	54.3	4.0	2.01E+03	5.44E+01	1.97E+03	4.28E+04
67.6	54.2	4.0	2.02E+03	5.45E+01	1.97E+03	4.29E+04
67.7	54.0	4.0	2.02E+03	5.45E+01	1.97E+03	4.29E+04
67.8	53.9	4.0	2.02E+03	5.46E+01	1.97E+03	4.29E+04
67.9	53.8	4.0	2.02E+03	5.46E+01	1.97E+03	4.30E+04
68.0	53.6	4.0	2.02E+03	5.47E+01	1.98E+03	4.30E+04
68.1	53.5	4.0	2.02E+03	5.47E+01	1.98E+03	4.30E+04
68.2	53.4	4.0	2.03E+03	5.48E+01	1.98E+03	4.31E+04
68.3	53.3	4.0	2.03E+03	5.48E+01	1.98E+03	4.31E+04
68.4	53.1	4.0	2.03E+03	5.48E+01	1.98E+03	4.32E+04
68.5	53.0	3.9	2.03E+03	5.49E+01	1.98E+03	4.32E+04
68.6	52.9	3.9	2.03E+03	5.49E+01	1.99E+03	4.32E+04
68.7	52.7	3.9	2.03E+03	5.50E+01	1.99E+03	4.33E+04
68.8	52.6	3.9	2.04E+03	5.50E+01	1.99E+03	4.33E+04
68.9	52.5	3.9	2.04E+03	5.51E+01	1.99E+03	4.33E+04
69.0	52.4	3.9	2.04E+03	5.51E+01	1.99E+03	4.34E+04
69.1	52.2	3.9	2.04E+03	5.52E+01	1.99E+03	4.34E+04
69.2	52.1	3.9	2.04E+03	5.52E+01	2.00E+03	4.35E+04
69.3	52.0	3.9	2.05E+03	5.53E+01	2.00E+03	4.35E+04
69.4	51.9	3.9	2.05E+03	5.53E+01	2.00E+03	4.35E+04
69.5	51.7	3.8	2.05E+03	5.54E+01	2.00E+03	4.36E+04
69.6	51.6	3.8	2.05E+03	5.54E+01	2.00E+03	4.36E+04
69.7	51.5	3.8	2.05E+03	5.55E+01	2.00E+03	4.36E+04
69.8	51.4	3.8	2.05E+03	5.55E+01	2.01E+03	4.37E+04
69.9	51.3	3.8	2.06E+03	5.56E+01	2.01E+03	4.37E+04
70.0	51.2	3.8	2.06E+03	5.56E+01	2.01E+03	4.38E+04
70.1	51.0	4.6	2.06E+03	5.57E+01	2.01E+03	4.38E+04
70.2	50.9	4.6	2.06E+03	5.57E+01	2.01E+03	4.38E+04
70.3	50.8	4.6	2.06E+03	5.58E+01	2.02E+03	4.39E+04
70.4	50.7	4.6	2.06E+03	5.58E+01	2.02E+03	4.39E+04
70.5	50.6	4.5	2.07E+03	5.58E+01	2.02E+03	4.39E+04
70.6	50.5	4.5	2.07E+03	5.59E+01	2.02E+03	4.40E+04
70.7	50.3	4.5	2.07E+03	5.59E+01	2.02E+03	4.40E+04
70.8	50.2	4.5	2.07E+03	5.60E+01	2.02E+03	4.41E+04
70.9	50.1	4.5	2.07E+03	5.60E+01	2.03E+03	4.41E+04
71.0	50.0	4.5	2.07E+03	5.61E+01	2.03E+03	4.41E+04
71.1	49.9	4.5	2.08E+03	5.61E+01	2.03E+03	4.42E+04
71.2	49.8	4.5	2.08E+03	5.62E+01	2.03E+03	4.42E+04
71.3	49.7	4.5	2.08E+03	5.62E+01	2.03E+03	4.42E+04
71.4	49.6	4.5	2.08E+03	5.63E+01	2.03E+03	4.43E+04
71.5	49.5	4.4	2.08E+03	5.63E+01	2.04E+03	4.43E+04
71.6	49.3	4.4	2.09E+03	5.64E+01	2.04E+03	4.43E+04
71.7	49.2	4.4	2.09E+03	5.64E+01	2.04E+03	4.44E+04
71.8	49.1	4.4	2.09E+03	5.64E+01	2.04E+03	4.44E+04
71.9	49.0	4.4	2.09E+03	5.65E+01	2.04E+03	4.45E+04
72.0	48.9	4.4	2.09E+03	5.65E+01	2.04E+03	4.45E+04
72.1	48.8	4.4	2.09E+03	5.66E+01	2.05E+03	4.45E+04
72.2	48.7	4.4	2.10E+03	5.66E+01	2.05E+03	4.46E+04
72.3	48.6	4.4	2.10E+03	5.67E+01	2.05E+03	4.46E+04
72.4	48.5	4.4	2.10E+03	5.67E+01	2.05E+03	4.46E+04
72.5	48.4	4.3	2.10E+03	5.68E+01	2.05E+03	4.47E+04
72.6	48.3	4.3	2.10E+03	5.68E+01	2.05E+03	4.47E+04
72.7	48.2	4.3	2.10E+03	5.69E+01	2.06E+03	4.47E+04
72.8	48.1	4.3	2.11E+03	5.69E+01	2.06E+03	4.48E+04
72.9	48.0	4.3	2.11E+03	5.70E+01	2.06E+03	4.48E+04
73.0	47.9	4.3	2.11E+03	5.70E+01	2.06E+03	4.48E+04
73.1	47.8	4.3	2.11E+03	5.70E+01	2.06E+03	4.49E+04
73.2	47.7	4.3	2.11E+03	5.71E+01	2.06E+03	4.49E+04
73.3	47.6	4.3	2.11E+03	5.71E+01	2.07E+03	4.50E+04
73.4	47.5	4.3	2.12E+03	5.72E+01	2.07E+03	4.50E+04
73.5	47.4	4.3	2.12E+03	5.72E+01	2.07E+03	4.50E+04
73.6	47.3	4.2	2.12E+03	5.73E+01	2.07E+03	4.51E+04
73.7	47.2	4.2	2.12E+03	5.73E+01	2.07E+03	4.51E+04
73.8	47.1	4.2	2.12E+03	5.74E+01	2.07E+03	4.51E+04
73.9	47.0	4.2	2.12E+03	5.74E+01	2.07E+03	4.52E+04
74.0	46.9	4.2	2.13E+03	5.75E+01	2.08E+03	4.52E+04
74.1	46.8	4.2	2.13E+03	5.75E+01	2.08E+03	4.52E+04
74.2	46.7	4.2	2.13E+03	5.75E+01	2.08E+03	4.53E+04
74.3	46.6	4.2	2.13E+03	5.76E+01	2.08E+03	4.53E+04
74.4	46.5	4.2	2.13E+03	5.76E+01	2.08E+03	4.53E+04
74.5	46.4	4.2	2.13E+03	5.77E+01	2.08E+03	4.54E+04
74.6	46.3	4.2	2.14E+03	5.77E+01	2.09E+03	4.54E+04
74.7	46.2	4.2	2.14E+03	5.78E+01	2.09E+03	4.55E+04
74.8	46.2	4.1	2.14E+03	5.78E+01	2.09E+03	4.55E+04
74.9	46.1	4.1	2.14E+03	5.79E+01	2.09E+03	4.55E+04
75.0	46.0	4.1	2.14E+03	5.79E+01	2.09E+03	4.56E+04
75.1	45.9	4.1	2.14E+03	5.79E+01	2.09E+03	4.56E+04
75.2	45.8	4.1	2.15E+03	5.80E+01	2.10E+03	4.56E+04
75.3	45.7	4.1	2.15E+03	5.80E+01	2.10E+03	4.57E+04
75.4	45.6	4.1	2.15E+03	5.81E+01	2.10E+03	4.57E+04
75.5	45.5	4.1	2.15E+03	5.81E+01	2.10E+03	4.57E+04
75.6	45.4	4.1	2.15E+03	5.82E+01	2.10E+03	4.58E+04
75.7	45.3	4.1	2.15E+03	5.82E+01	2.10E+03	4.58E+04
75.8	45.3	4.1	2.16E+03	5.83E+01	2.11E+03	4.58E+04
75.9	45.2	4.1	2.16E+03	5.83E+01	2.11E+03	4.59E+04
76.0	45.1	4.0	2.16E+03	5.83E+01	2.11E+03	4.59E+04
76.1	45.0	4.0	2.16E+03	5.84E+01	2.11E+03	4.59E+04
76.2	44.9	4.0	2.16E+03	5.84E+01	2.11E+03	4.60E+04
76.3	44.8	4.0	2.16E+03	5.85E+01	2.11E+03	4.60E+04
76.4	44.7	4.0	2.17E+03	5.85E+01	2.12E+03	4.60E+04
76.5	44.7	4.0	2.17E+03	5.86E+01	2.12E+03	4.61E+04
76.6	44.6	4.0	2.17E+03	5.86E+01	2.12E+03	4.61E+04
76.7	44.5	4.0	2.17E+03	5.86E+01	2.12E+03	4.61E+04
76.8	44.4	4.0	2.17E+03	5.87E+01	2.12E+03	4.62E+04
76.9	44.3	4.0	2.17E+03	5.87E+01	2.12E+03	4.62E+04
77.0	44.2	4.0	2.17E+03	5.88E+01	2.12E+03	4.62E+04
77.1	44.1	4.0	2.18E+03	5.88E+01	2.13E+03	4.63E+04
77.2	44.1	4.0	2.18E+03	5.89E+01	2.13E+03	4.63E+04
77.3	44.0	3.9	2.18E+03	5.89E+01	2.13E+03	4.64E+04
77.4	43.9	3.9	2.18E+03	5.90E+01	2.13E+03	4.64E+04
77.5	43.8	3.9	2.18E+03	5.90E+01	2.13E+03	4.64E+04
77.6	43.7	3.9	2.18E+03	5.90E+01	2.13E+03	4.65E+04
77.7	43.7	3.9	2.19E+03	5.91E+01	2.14E+03	4.65E+04
77.8	43.6	3.9	2.19E+03	5.91E+01	2.14E+03	4.65E+04
77.9	43.5	3.9	2.19E+03	5.92E+01	2.14E+03	4.66E+04
78.0	43.4	3.9	2.19E+03	5.92E+01	2.14E+03	4.66E+04
78.1	43.3	3.9	2.19E+03	5.93E+01	2.14E+03	4.66E+04
78.2	43.3	3.9	2.19E+03	5.93E+01	2.14E+03	4.67E+04
78.3	43.2	3.9	2.20E+03	5.93E+01	2.14E+03	4.67E+04
78.4	43.1	3.9	2.20E+03	5.94E+01	2.15E+03	4.67E+04
78.5	43.0	3.9	2.20E+03	5.94E+01	2.15E+03	4.68E+04
78.6	42.9	3.9	2.20E+03	5.95E+01	2.15E+03	4.68E+04
78.7	42.9	3.8	2.20E+03	5.95E+01	2.15E+03	4.68E+04
78.8	42.8	3.8	2.20E+03	5.96E+01	2.15E+03	4.69E+04
78.9	42.7	3.8	2.21E+03	5.96E+01	2.15E+03	4.69E+04
79.0	42.6	3.8	2.21E+03	5.96E+01	2.16E+03	4.69E+04
79.1	42.6	3.8	2.21E+03	5.97E+01	2.16E+03	4.70E+04
79.2	42.5	3.8	2.21E+03	5.97E+01	2.16E+03	4.70E+04
79.3	42.4	3.8	2.21E+03	5.98E+01	2.16E+03	4.70E+04
79.4	42.3	3.8	2.21E+03	5.98E+01	2.16E+03	4.71E+04
79.5	42.3	3.8	2.21E+03	5.99E+01	2.16E+03	4.71E+04
79.6	42.2	3.8	2.22E+03	5.99E+01	2.17E+03	4.71E+04
79.7	42.1	3.8	2.22E+03	5.99E+01	2.17E+03	4.72E+04
79.8	42.0	3.8	2.22E+03	6.00E+01	2.17E+03	4.72E+04
79.9	42.0	3.8	2.22E+03	6.00E+01	2.17E+03	4.72E+04
80.0	41.9	3.8	2.22E+03	6.01E+01	2.17E+03	4.73E+04
80.1	41.8	4.5	2.22E+03	6.01E+01	2.17E+03	4.73E+04
80.2	41.7	4.5	2.23E+03	6.02E+01	2.17E+03	4.73E+04
80.3	41.7	4.4	2.23E+03	6.02E+01	2.18E+03	4.74E+04
80.4	41.6	4.4	2.23E+03	6.02E+01	2.18E+03	4.74E+04
80.5	41.5	4.4	2.23E+03	6.03E+01	2.18E+03	4.74E+04
80.6	41.4	4.4	2.23E+03	6.03E+01	2.18E+03	4.75E+04
80.7	41.4	4.4	2.23E+03	6.04E+01	2.18E+03	4.75E+04
80.8	41.3	4.4	2.24E+03	6.04E+01	2.18E+03	4.75E+04
80.9	41.2	4.4	2.24E+03	6.05E+01	2.19E+03	4.76E+04
81.0	41.2	4.4	2.24E+03	6.05E+01	2.19E+03	4.76E+04
81.1	41.1	4.4	2.24E+03	6.05E+01	2.19E+03	4.76E+04
81.2	41.0	4.4	2.24E+03	6.06E+01	2.19E+03	4.77E+04
81.3	40.9	4.4	2.24E+03	6.06E+01	2.19E+03	4.77E+04
81.4	40.9	4.4	2.24E+03	6.07E+01	2.19E+03	4.77E+04
81.5	40.8	4.4	2.25E+03	6.07E+01	2.19E+03	4.78E+04
81.6	40.7	4.3	2.25E+03	6.08E+01	2.20E+03	4.78E+04
81.7	40.7	4.3	2.25E+03	6.08E+01	2.20E+03	4.78E+04
81.8	40.6	4.3	2.25E+03	6.08E+01	2.20E+03	4.79E+04
81.9	40.5	4.3	2.25E+03	6.09E+01	2.20E+03	4.79E+04
82.0	40.4	4.3	2.25E+03	6.09E+01	2.20E+03	4.79E+04
82.1	40.4	4.3	2.26E+03	6.10E+01	2.20E+03	4.80E+04
82.2	40.3	4.3	2.26E+03	6.10E+01	2.20E+03	4.80E+04
82.3	40.2	4.3	2.26E+03	6.10E+01	2.21E+03	4.80E+04
82.4	40.2	4.3	2.26E+03	6.11E+01	2.21E+03	4.81E+04
82.5	40.1	4.3	2.26E+03	6.11E+01	2.21E+03	4.81E+04
82.6	40.0	4.3	2.26E+03	6.12E+01	2.21E+03	4.81E+04
82.7	40.0	4.3	2.26E+03	6.12E+01	2.21E+03	4.82E+04
82.8	39.9	4.3	2.27E+03	6.13E+01	2.21E+03	4.82E+04
82.9	39.8	4.2	2.27E+03	6.13E+01	2.22E+03	4.82E+04
83.0	39.8	4.2	2.27E+03	6.13E+01	2.22E+03	4.83E+04
83.1	39.7	4.2	2.27E+03	6.14E+01	2.22E+03	4.83E+04
83.2	39.6	4.2	2.27E+03	6.14E+01	2.22E+03	4.83E+04
83.3	39.6	4.2	2.27E+03	6.15E+01	2.22E+03	4.84E+04
83.4	39.5	4.2	2.28E+03	6.15E+01	2.22E+03	4.84E+04
83.5	39.4	4.2	2.28E+03	6.15E+01	2.22E+03	4.84E+04
83.6	39.4	4.2	2.28E+03	6.16E+01	2.23E+03	4.85E+04
83.7	39.3	4.2	2.28E+03	6.16E+01	2.23E+03	4.85E+04
83.8	39.2	4.2	2.28E+03	6.17E+01	2.23E+03	4.85E+04
83.9	39.2	4.2	2.28E+03	6.17E+01	2.23E+03	4.86E+04
84.0	39.1	4.2	2.28E+03	6.18E+01	2.23E+03	4.86E+04
84.1	39.0	4.2	2.29E+03	6.18E+01	2.23E+03	4.86E+04
84.2	39.0	4.2	2.29E+03	6.18E+01	2.23E+03	4.87E+04
84.3	38.9	4.2	2.29E+03	6.19E+01	2.24E+03	4.87E+04
84.4	38.8	4.1	2.29E+03	6.19E+01	2.24E+03	4.87E+04
84.5	38.8	4.1	2.29E+03	6.20E+01	2.24E+03	4.87E+04
84.6	38.7	4.1	2.29E+03	6.20E+01	2.24E+03	4.88E+04
84.7	38.7	4.1	2.30E+03	6.20E+01	2.24E+03	4.88E+04
84.8	38.6	4.1	2.30E+03	6.21E+01	2.24E+03	4.88E+04
84.9	38.5	4.1	2.30E+03	6.21E+01	2.25E+03	4.89E+04
85.0	38.5	4.1	2.30E+03	6.22E+01	2.25E+03	4.89E+04
85.1	38.4	4.1	2.30E+03	6.22E+01	2.25E+03	4.89E+04
85.2	38.3	4.1	2.30E+03	6.22E+01	2.25E+03	4.90E+04
85.3	38.3	4.1	2.30E+03	6.23E+01	2.25E+03	4.90E+04
85.4	38.2	4.1	2.31E+03	6.23E+01	2.25E+03	4.90E+04
85.5	38.2	4.1	2.31E+03	6.24E+01	2.25E+03	4.91E+04
85.6	38.1	4.1	2.31E+03	6.24E+01	2.26E+03	4.91E+04
85.7	38.0	4.1	2.31E+03	6.24E+01	2.26E+03	4.91E+04
85.8	38.0	4.1	2.31E+03	6.25E+01	2.26E+03	4.92E+04
85.9	37.9	4.0	2.31E+03	6.25E+01	2.26E+03	4.92E+04
86.0	37.9	4.0	2.32E+03	6.26E+01	2.26E+03	4.92E+04
86.1	37.8	4.0	2.32E+03	6.26E+01	2.26E+03	4.93E+04
86.2	37.7	4.0	2.32E+03	6.27E+01	2.26E+03	4.93E+04
86.3	37.7	4.0	2.32E+03	6.27E+01	2.27E+03	4.93E+04
86.4	37.6	4.0	2.32E+03	6.27E+01	2.27E+03	4.94E+04
86.5	37.6	4.0	2.32E+03	6.28E+01	2.27E+03	4.94E+04
86.6	37.5	4.0	2.32E+03	6.28E+01	2.27E+03	4.94E+04
86.7	37.4	4.0	2.33E+03	6.29E+01	2.27E+03	4.95E+04
86.8	37.4	4.0	2.33E+03	6.29E+01	2.27E+03	4.95E+04
86.9	37.3	4.0	2.33E+03	6.29E+01	2.27E+03	4.95E+04
87.0	37.3	4.0	2.33E+03	6.30E+01	2.28E+03	4.95E+04
87.1	37.2	4.0	2.33E+03	6.30E+01	2.28E+03	4.96E+04
87.2	37.1	4.0	2.33E+03	6.31E+01	2.28E+03	4.96E+04
87.3	37.1	4.0	2.33E+03	6.31E+01	2.28E+03	4.96E+04
87.4	37.0	4.0	2.34E+03	6.31E+01	2.28E+03	4.97E+04
87.5	37.0	3.9	2.34E+03	6.32E+01	2.28E+03	4.97E+04
87.6	36.9	3.9	2.34E+03	6.32E+01	2.28E+03	4.97E+04
87.7	36.9	3.9	2.34E+03	6.33E+01	2.29E+03	4.98E+04
87.8	36.8	3.9	2.34E+03	6.33E+01	2.29E+03	4.98E+04
87.9	36.7	3.9	2.34E+03	6.33E+01	2.29E+03	4.98E+04
88.0	36.7	3.9	2.34E+03	6.34E+01	2.29E+03	4.99E+04
88.1	36.6	3.9	2.35E+03	6.34E+01	2.29E+03	4.99E+04
88.2	36.6	3.9	2.35E+03	6.35E+01	2.29E+03	4.99E+04
88.3	36.5	3.9	2.35E+03	6.35E+01	2.29E+03	5.00E+04
88.4	36.5	3.9	2.35E+03	6.35E+01	2.30E+03	5.00E+04
88.5	36.4	3.9	2.35E+03	6.36E+01	2.30E+03	5.00E+04
88.6	36.4	3.9	2.35E+03	6.36E+01	2.30E+03	5.01E+04
88.7	36.3	3.9	2.36E+03	6.37E+01	2.30E+03	5.01E+04
88.8	36.2	3.9	2.36E+03	6.37E+01	2.30E+03	5.01E+04
88.9	36.2	3.9	2.36E+03	6.37E+01	2.30E+03	5.01E+04
89.0	36.1	3.9	2.36E+03	6.38E+01	2.31E+03	5.02E+04
89.1	36.1	3.8	2.36E+03	6.38E+01	2.31E+03	5.02E+04
89.2	36.0	3.8	2.36E+03	6.39E+01	2.31E+03	5.02E+04
89.3	36.0	3.8	2.36E+03	6.39E+01	2.31E+03	5.03E+04
89.4	35.9	3.8	2.37E+03	6.39E+01	2.31E+03	5.03E+04
89.5	35.9	3.8	2.37E+03	6.40E+01	2.31E+03	5.03E+04
89.6	35.8	3.8	2.37E+03	6.40E+01	2.31E+03	5.04E+04
89.7	35.8	3.8	2.37E+03	6.41E+01	2.32E+03	5.04E+04
89.8	35.7	3.8	2.37E+03	6.41E+01	2.32E+03	5.04E+04
89.9	35.7	3.8	2.37E+03	6.41E+01	2.32E+03	5.05E+04
90.0	35.6	3.8	2.37E+03	6.42E+01	2.32E+03	5.05E+04
						
						
						
						
						
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
