# Reaction     Total        Elastic      CNFormation  Capture      Inelastic    Fission     
 1.000000e+00 4.030962e-03 5.336668e-14 4.030960e-03 9.058763e-10 2.941676e-03 0.000000e+00
 3.500000e+00 3.016687e+02 1.252226e-01 2.781343e+02 4.602335e-02 1.654626e+02 0.000000e+00
 6.000000e+00 1.371987e+03 3.760967e-01 9.464701e+02 1.130916e-01 3.625274e+02 0.000000e+00
 8.500000e+00 2.068804e+03 1.722087e-01 1.266997e+03 9.315625e-02 2.636339e+02 0.000000e+00
 1.100000e+01 2.381991e+03 5.882847e-02 1.422960e+03 5.307307e-02 2.023735e+02 0.000000e+00
 1.350000e+01 2.538275e+03 1.960363e-02 1.507417e+03 2.005284e-02 1.782552e+02 0.000000e+00
 1.600000e+01 2.632654e+03 6.816270e-03 1.555184e+03 4.861940e-03 1.674390e+02 0.000000e+00
 1.850000e+01 2.695243e+03 2.520182e-03 1.582628e+03 1.000789e-03 1.593375e+02 0.000000e+00
 2.100000e+01 2.737203e+03 9.856277e-04 1.597473e+03 2.359452e-04 1.529048e+02 0.000000e+00
 2.350000e+01 2.766580e+03 4.093030e-04 1.605426e+03 6.845188e-05 1.455810e+02 0.000000e+00
 2.600000e+01 2.786489e+03 1.773642e-04 1.608552e+03 2.406693e-05 1.385532e+02 0.000000e+00
 2.850000e+01 2.797140e+03 7.911999e-05 1.607700e+03 9.706085e-06 1.316271e+02 0.000000e+00
 3.100000e+01 2.800108e+03 3.560979e-05 1.604485e+03 4.048153e-06 1.248837e+02 0.000000e+00
 3.350000e+01 2.797236e+03 1.595869e-05 1.599905e+03 1.572887e-06 1.184549e+02 0.000000e+00
 3.600000e+01 2.789610e+03 7.162137e-06 1.594133e+03 5.486844e-07 1.123902e+02 0.000000e+00
 3.850000e+01 2.778498e+03 3.252894e-06 1.587374e+03 1.817516e-07 1.067005e+02 0.000000e+00
 4.100000e+01 2.765539e+03 1.497461e-06 1.579955e+03 6.141159e-08 1.013808e+02 0.000000e+00
 4.350000e+01 2.752160e+03 7.041788e-07 1.572104e+03 2.186300e-08 9.641289e+01 0.000000e+00
 4.600000e+01 2.739285e+03 3.364922e-07 1.563911e+03 8.235879e-09 9.177123e+01 0.000000e+00
 4.850000e+01 2.727495e+03 1.644238e-07 1.555459e+03 3.260607e-09 8.743507e+01 0.000000e+00
 5.100000e+01 2.717104e+03 8.362821e-08 1.546812e+03 1.374366e-09 8.240537e+01 0.000000e+00
 5.350000e+01 2.708234e+03 3.978117e-08 1.538047e+03 5.356779e-10 8.069481e+01 0.000000e+00
