,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
12,../../../2017_Feb_Zr/50MeV/BV170217_Fe02_18cm_50MeV.Spe,52MN,1434.092,40959.5293206004,720.4018783985904,1.0,0.0139999999999999,0.0009630492687371,0.0001064288261409,42667761.393820696,4816495.542422792,4881.336391010262,551.0234003458177,13.928162690836334,02/17/2017 13:53:04,8713.0,8741.0
0,../../../2017_Feb_Zr/50MeV/BW170217_Fe03_18cm_50MeV.Spe,52MN,346.02,997.569299839076,59.10196832203584,0.0098,0.00014,0.0029685905075528,0.0001819076915074,34402804.98835978,3166465.9118733066,5374.598498415838,494.68300451074936,0.9019218426792184,02/17/2017 16:21:12,6380.0,6401.0
1,../../../2017_Feb_Zr/50MeV/BW170217_Fe03_18cm_50MeV.Spe,52MN,600.16,265.59904874332125,43.08279393116717,0.0039,0.0001099999999999,0.0019069259302349,8.282760934268303e-05,35830695.02032707,6485184.088177452,5597.671460760361,1013.1517088232232,0.842107872642217,02/17/2017 16:21:12,6380.0,6401.0
2,../../../2017_Feb_Zr/50MeV/BW170217_Fe03_18cm_50MeV.Spe,52MN,744.233,47536.62684746081,484.26912806382944,0.9,0.012,0.0016171047893994,6.800265839967222e-05,32769878.94323616,1491290.3241209302,5119.49366399565,232.977710376649,5.306837726458489,02/17/2017 16:21:12,6380.0,6401.0
3,../../../2017_Feb_Zr/50MeV/BW170217_Fe03_18cm_50MeV.Spe,56CO,846.77,9847.775682919766,206.3759691458818,0.999399,0.04996995,0.0014650875388666,6.694386567085867e-05,6747809.461479243,483237.0033132586,1054.18051265103,75.49398583241035,1.100146644978642,02/17/2017 16:21:12,6380.0,6401.0
4,../../../2017_Feb_Zr/50MeV/BW170217_Fe03_18cm_50MeV.Spe,52MN,848.18,380.7104039261734,177.6330942511023,0.0332,0.0004,0.0014632207631675,6.695930328999324e-05,7862740.72230648,3709396.3431994985,1228.3613064062615,579.5026313387749,1.100146644978642,02/17/2017 16:21:12,6380.0,6401.0
5,../../../2017_Feb_Zr/50MeV/BW170217_Fe03_18cm_50MeV.Spe,52MN,935.544,41795.19629689192,1771.69441184668,0.945,0.013,0.0013566092419398,6.824976905602037e-05,32708975.226765636,2204176.921831554,5109.978944971978,344.3488395300037,81.64919141401701,02/17/2017 16:21:12,6380.0,6401.0
8,../../../2017_Feb_Zr/50MeV/BW170217_Fe03_18cm_50MeV.Spe,52MN,1246.278,1549.4405913242292,47.44750534277553,0.0421,0.0007,0.0010789771629632,6.068527257621717e-05,34222184.55637664,2425407.7504584915,5346.380964908082,378.9107562034825,1.0616222604649517,02/17/2017 16:21:12,6380.0,6401.0
9,../../../2017_Feb_Zr/50MeV/BW170217_Fe03_18cm_50MeV.Spe,52MN,1333.649,1678.310577942328,46.23323495429916,0.0507,0.0007,0.0010216125945154,6.892601036531672e-05,32509125.16996497,2538468.9085190254,5078.757251986403,396.5738022994884,1.2347447739646178,02/17/2017 16:21:12,6380.0,6401.0
11,../../../2017_Feb_Zr/50MeV/BW170217_Fe03_18cm_50MeV.Spe,52MN,1434.092,31664.43505991788,503.6956109078904,1.0,0.0139999999999999,0.0009630492687371,0.0001064288261409,32987574.6970691,3716574.074807258,5153.5033115246215,580.6239766922758,8.813791573322403,02/17/2017 16:21:12,6380.0,6401.0
0,../../../2017_Feb_Zr/50MeV/BY190217_Fe04_18cm_50MeV.Spe,56CO,846.77,10053.967339829049,144.1529520452898,0.999399,0.04996995,0.0014650875388666,6.694386567085867e-05,6881040.707925621,481322.0683582631,1322.514070329737,92.50856589626429,2.183804124575401,02/19/2017 11:23:38,5192.0,5203.0
0,../../../2017_Feb_Zr/50MeV/BZ190217_Fe05_18cm_50MeV.Spe,52MN,744.233,1914.5176927631169,59.16003330422866,0.9,0.012,0.0016171047893994,6.800265839967222e-05,1317303.5481239075,77074.51027354633,368.0646963184989,21.535208235134487,1.7943378345764929,02/19/2017 12:52:57,3574.0,3579.0
1,../../../2017_Feb_Zr/50MeV/BZ190217_Fe05_18cm_50MeV.Spe,56CO,846.77,10684.553616034553,113.1795651252302,0.999399,0.04996995,0.0014650875388666,6.694386567085867e-05,7307369.158522065,505933.2121348059,2041.734886426953,141.36161277865492,1.3094770633112958,02/19/2017 12:52:57,3574.0,3579.0
2,../../../2017_Feb_Zr/50MeV/BZ190217_Fe05_18cm_50MeV.Spe,52MN,935.544,1642.9248468628211,77.43461955616344,0.945,0.013,0.0013566092419398,6.824976905602037e-05,1283329.7674939546,95609.02193166871,358.5721619150474,26.7138926883679,3.604575022902683,02/19/2017 12:52:57,3574.0,3579.0
7,../../../2017_Feb_Zr/50MeV/BZ190217_Fe05_18cm_50MeV.Spe,52MN,1246.278,68.28431192478983,17.405709177361963,0.0421,0.0007,0.0010789771629632,6.068527257621717e-05,1505337.0097345796,433836.7648720468,420.6026850334114,121.21731345963867,2.013948859293365,02/19/2017 12:52:57,3574.0,3579.0
8,../../../2017_Feb_Zr/50MeV/BZ190217_Fe05_18cm_50MeV.Spe,52MN,1333.649,96.36552894954808,10.184156180141583,0.0507,0.0007,0.0010216125945154,6.892601036531672e-05,1863093.54935669,302076.9092056638,520.5626011055296,84.40260106333159,0.7296997559685936,02/19/2017 12:52:57,3574.0,3579.0
10,../../../2017_Feb_Zr/50MeV/BZ190217_Fe05_18cm_50MeV.Spe,52MN,1434.092,1293.2489155555747,52.28332531646704,1.0,0.0139999999999999,0.0009630492687371,0.0001064288261409,1344747.5673581427,163687.52979619187,375.73276539763697,45.735548979098034,2.32793830025532,02/19/2017 12:52:57,3574.0,3579.0
